sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 45,AB 65,0,3,dental/coronal,velar/palatal,i,u,1,1,morphological,prefix/suffix substitution: AB 45(ri) ↔ AB 65(ju),0.0,[AB 45|AB 65]-AB 26-AB 01
AB 45,AB 04,0,3,dental/coronal,dental/coronal,i,e,1,1,unknown,unclassified: AB 45(ri) ↔ AB 04(te),0.0,[AB 45|AB 04]-AB 26-AB 01
AB 45,AB 49,0,3,dental/coronal,?,i,?,1,1,morphological,prefix/suffix substitution: AB 45(ri) ↔ AB 49(?),0.0,[AB 45|AB 49]-AB 26-AB 01
AB 48,AB 07,2,3,?,dental/coronal,?,i,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 07(di),0.0,AB 26-AB 01-[AB 48|AB 07]
AB 48,AB 49,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 49(?),0.0,AB 26-AB 01-[AB 48|AB 49]
AB 48,AB 59,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 59(?),0.0,AB 26-AB 01-[AB 48|AB 59]
AB 48,AB 56,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 56(?),0.0,AB 26-AB 01-[AB 48|AB 56]
AB 48,AB 73,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 73(?),0.0,AB 26-AB 01-[AB 48|AB 73]
AB 01,AB 66,1,3,dental/coronal,?,a,?,1,1,unknown,unclassified: AB 01(da) ↔ AB 66(?),0.0,AB 26-[AB 01|AB 66]-AB 48
AB 48,AB 01,2,3,?,dental/coronal,?,a,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 01(da),0.0,AB 26-AB 01-[AB 48|AB 01]
AB 48,AB 05,1,3,?,dental/coronal,?,o,1,1,unknown,unclassified: AB 48(?) ↔ AB 05(to),0.0,AB 01-[AB 48|AB 05]-AB 26
AB 07,AB 44,0,3,dental/coronal,velar/palatal,i,e,1,1,morphological,prefix/suffix substitution: AB 07(di) ↔ AB 44(ke),0.0,[AB 07|AB 44]-AB 03-AB 49
AB 07,AB 24,0,3,dental/coronal,dental/coronal,i,e,1,1,unknown,unclassified: AB 07(di) ↔ AB 24(ne),0.0,[AB 07|AB 24]-AB 03-AB 49
