sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 65,AB 56,0,3,velar/palatal,?,u,?,1,2,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 56(?),0.0,[AB 65|AB 56]-AB 45-AB 55
AB 04,AB 62,0,3,dental/coronal,?,e,?,1,2,morphological,prefix/suffix substitution: AB 04(te) ↔ AB 62(?),0.0,[AB 04|AB 62]-AB 08-AB 44
AB 73,AB 30,2,3,?,dental/coronal,?,i,1,2,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 30(ni),0.0,AB 08-AB 44-[AB 73|AB 30]
AB 73,AB 14,2,3,?,dental/coronal,?,o,1,2,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 14(do),0.0,AB 08-AB 44-[AB 73|AB 14]
AB 73,AB 58,2,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 58(?),0.0,AB 08-AB 44-[AB 73|AB 58]
AB 45,AB 63,1,3,dental/coronal,velar/palatal,i,e,2,1,unknown,unclassified: AB 45(ri) ↔ AB 63(ke),0.0,AB 07-[AB 45|AB 63]-AB 06
AB 07,AB 17,0,3,dental/coronal,dental/coronal,i,a,2,1,unknown,unclassified: AB 07(di) ↔ AB 17(za),0.0,[AB 07|AB 17]-AB 45-AB 06
AB 06,AB 56,2,3,dental/coronal,?,a,?,2,1,morphological,prefix/suffix substitution: AB 06(na) ↔ AB 56(?),0.0,AB 07-AB 45-[AB 06|AB 56]
AB 56,AB 46,0,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 46(?),0.0,[AB 56|AB 46]-AB 07-AB 29
VASE 6,AB 22f,0,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: VASE 6(?) ↔ AB 22f(?),0.0,[VASE 6|AB 22f]-AB 08-AB 09
AB 09,AB 45,1,3,dental/coronal,dental/coronal,e,i,1,2,phonetic,"same class (dental/coronal), different vowel: AB 09(se) ↔ AB 45(ri)",0.5,AB 08-[AB 09|AB 45]-AB 26
A 568,AB 02,0,3,?,dental/coronal,?,o,1,2,morphological,prefix/suffix substitution: A 568(?) ↔ AB 02(ro),0.0,[A 568|AB 02]-AB 30-AB 61
AB 26,AB 07,2,3,dental/coronal,dental/coronal,u,i,1,2,unknown,unclassified: AB 26(ru) ↔ AB 07(di),0.0,AB 13-AB 23-[AB 26|AB 07]
VASE 6,AB 04,0,3,?,dental/coronal,?,e,2,1,morphological,prefix/suffix substitution: VASE 6(?) ↔ AB 04(te),0.0,[VASE 6|AB 04]-AB 56-AB 02
VASE 6,A 568,0,3,?,?,?,?,2,1,morphological,prefix/suffix substitution: VASE 6(?) ↔ A 568(?),0.0,[VASE 6|A 568]-AB 56-AB 02
VASE 6,VASE 1,0,3,?,?,?,?,2,1,morphological,prefix/suffix substitution: VASE 6(?) ↔ VASE 1(?),0.0,[VASE 6|VASE 1]-AB 56-AB 02
VASE 6,AB 02,0,3,?,dental/coronal,?,o,2,1,morphological,prefix/suffix substitution: VASE 6(?) ↔ AB 02(ro),0.0,[VASE 6|AB 02]-AB 56-AB 02
VASE 6,AB 08,0,3,?,vowel,?,a,2,1,morphological,prefix/suffix substitution: VASE 6(?) ↔ AB 08(a),0.0,[VASE 6|AB 08]-AB 56-AB 02
AB 71,AB 30,2,3,velar/palatal,dental/coronal,e,i,2,1,morphological,prefix/suffix substitution: AB 71(ke) ↔ AB 30(ni),0.0,AB 62-AB 03-[AB 71|AB 30]
AB 51,A 396,0,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ A 396(?),0.0,[AB 51|A 396]-AB 66-AB 02
AB 51,AB 32,0,3,dental/coronal,vowel,u,i,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 32(i),0.0,[AB 51|AB 32]-AB 66-AB 02
AB 51,AB 03,0,3,dental/coronal,labial,u,a,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 03(pa),0.0,[AB 51|AB 03]-AB 66-AB 02
AB 02,AB 66,2,3,dental/coronal,?,o,?,2,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ AB 66(?),0.0,AB 51-AB 66-[AB 02|AB 66]
AB 51,AB 65,0,3,dental/coronal,velar/palatal,u,u,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 65(ju),0.0,[AB 51|AB 65]-AB 66-AB 02
AB 51,AB 54,0,3,dental/coronal,labial,u,a,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 54(wa),0.0,[AB 51|AB 54]-AB 66-AB 02
AB 51,A 568,0,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ A 568(?),0.0,[AB 51|A 568]-AB 66-AB 02
AB 51,AB 92,0,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 92(?),0.0,[AB 51|AB 92]-AB 66-AB 02
AB 51,VASE 5,0,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ VASE 5(?),0.0,[AB 51|VASE 5]-AB 66-AB 02
AB 51,AB 22f,0,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 22f(?),0.0,[AB 51|AB 22f]-AB 66-AB 02
AB 51,A 377,0,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ A 377(?),0.0,[AB 51|A 377]-AB 66-AB 02
AB 51,AB 61,0,3,dental/coronal,vowel,u,o,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 61(o),0.0,[AB 51|AB 61]-AB 66-AB 02
AB 66,AB 61,1,3,?,vowel,?,o,2,1,unknown,unclassified: AB 66(?) ↔ AB 61(o),0.0,AB 51-[AB 66|AB 61]-AB 02
AB 51,AB 77,0,3,dental/coronal,velar/palatal,u,a,2,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 77(ka),0.0,[AB 51|AB 77]-AB 66-AB 02
AB 02,AB 44,0,3,dental/coronal,velar/palatal,o,e,2,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ AB 44(ke),0.0,[AB 02|AB 44]-AB 30-AB 61
AB 02,MET A,0,3,dental/coronal,?,o,?,2,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ MET A(?),0.0,[AB 02|MET A]-AB 30-AB 61
AB 02,AB 03,0,3,dental/coronal,labial,o,a,2,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ AB 03(pa),0.0,[AB 02|AB 03]-AB 30-AB 61
AB 02,AB 71,0,3,dental/coronal,velar/palatal,o,e,2,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ AB 71(ke),0.0,[AB 02|AB 71]-AB 30-AB 61
AB 02,AB 55,0,3,dental/coronal,dental/coronal,o,u,2,1,unknown,unclassified: AB 02(ro) ↔ AB 55(nu),0.0,[AB 02|AB 55]-AB 30-AB 61
AB 61,AB 51,2,3,vowel,dental/coronal,o,u,2,1,morphological,prefix/suffix substitution: AB 61(o) ↔ AB 51(du),0.0,AB 02-AB 30-[AB 61|AB 51]
AB 02,MET F,0,3,dental/coronal,?,o,?,2,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ MET F(?),0.0,[AB 02|MET F]-AB 30-AB 61
AB 02,VASE 7,0,3,dental/coronal,?,o,?,2,1,morphological,prefix/suffix substitution: AB 02(ro) ↔ VASE 7(?),0.0,[AB 02|VASE 7]-AB 30-AB 61
AB 29,VASE 4,2,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 29(pu) ↔ VASE 4(?),0.0,AB 61-AB 87-[AB 29|VASE 4]
AB 29,AB 61,2,3,dental/coronal,vowel,u,o,2,1,morphological,prefix/suffix substitution: AB 29(pu) ↔ AB 61(o),0.0,AB 61-AB 87-[AB 29|AB 61]
AB 61,AB 36,0,3,vowel,velar/palatal,o,o,2,1,morphological,prefix/suffix substitution: AB 61(o) ↔ AB 36(jo),0.0,[AB 61|AB 36]-AB 87-AB 29
VASE 6,AB 77,2,3,?,velar/palatal,?,a,1,2,morphological,prefix/suffix substitution: VASE 6(?) ↔ AB 77(ka),0.0,AB 87-AB 29-[VASE 6|AB 77]
VASE 3,VASE 2,2,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: VASE 3(?) ↔ VASE 2(?),0.0,AB 90-AB 87-[VASE 3|VASE 2]
AB 87,AB 29,0,3,?,dental/coronal,?,u,1,2,morphological,prefix/suffix substitution: AB 87(?) ↔ AB 29(pu),0.0,[AB 87|AB 29]-VASE 3-VASE 3
AB 87,VASE 3,0,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: AB 87(?) ↔ VASE 3(?),0.0,[AB 87|VASE 3]-VASE 3-VASE 3
AB 29,VASE 3,2,3,dental/coronal,?,u,?,1,2,morphological,prefix/suffix substitution: AB 29(pu) ↔ VASE 3(?),0.0,VASE 3-VASE 3-[AB 29|VASE 3]
AB 29,VASE 3,1,3,dental/coronal,?,u,?,1,2,unknown,unclassified: AB 29(pu) ↔ VASE 3(?),0.0,VASE 3-[AB 29|VASE 3]-VASE 3
AB 29,AB 24,0,3,dental/coronal,dental/coronal,u,e,2,1,unknown,unclassified: AB 29(pu) ↔ AB 24(ne),0.0,[AB 29|AB 24]-VASE 3-VASE 3
AB 29,A 400,0,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 29(pu) ↔ A 400(?),0.0,[AB 29|A 400]-VASE 3-VASE 3
AB 29,AB 73,0,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 29(pu) ↔ AB 73(?),0.0,[AB 29|AB 73]-VASE 3-VASE 3
VASE 7,VASE 3,2,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: VASE 7(?) ↔ VASE 3(?),0.0,VASE 3-VASE 3-[VASE 7|VASE 3]
AB 57,A 561,2,3,velar/palatal,?,a,?,1,2,morphological,prefix/suffix substitution: AB 57(ja) ↔ A 561(?),0.0,AB 56-AB 02-[AB 57|A 561]
AB 57,A 568,2,3,velar/palatal,?,a,?,1,2,morphological,prefix/suffix substitution: AB 57(ja) ↔ A 568(?),0.0,AB 56-AB 02-[AB 57|A 568]
AB 66,AB 01,2,3,?,dental/coronal,?,a,2,1,morphological,prefix/suffix substitution: AB 66(?) ↔ AB 01(da),0.0,AB 30-AB 23-[AB 66|AB 01]
AB 30,AB 65,0,3,dental/coronal,velar/palatal,i,u,2,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 65(ju),0.0,[AB 30|AB 65]-AB 23-AB 66
AB 23,AB 51,1,3,dental/coronal,dental/coronal,u,u,2,1,phonetic,"same vowel /u/, different consonant: AB 23(mu) ↔ AB 51(du)",0.7,AB 30-[AB 23|AB 51]-AB 66
AB 66,AB 75,2,3,?,?,?,?,2,1,morphological,prefix/suffix substitution: AB 66(?) ↔ AB 75(?),0.0,AB 30-AB 23-[AB 66|AB 75]
AB 23,AB 52,1,3,dental/coronal,?,u,?,2,1,unknown,unclassified: AB 23(mu) ↔ AB 52(?),0.0,AB 30-[AB 23|AB 52]-AB 66
AB 69,AB 56,2,3,dental/coronal,?,u,?,1,2,morphological,prefix/suffix substitution: AB 69(tu) ↔ AB 56(?),0.0,AB 66-AB 02-[AB 69|AB 56]
AB 59,A 708,2,3,?,?,?,?,2,1,morphological,prefix/suffix substitution: AB 59(?) ↔ A 708(?),0.0,AB 01-AB 12-[AB 59|A 708]
AB 12,AB 44,1,3,dental/coronal,velar/palatal,o,e,2,1,unknown,unclassified: AB 12(so) ↔ AB 44(ke),0.0,AB 01-[AB 12|AB 44]-AB 59
AB 12,AB 01,0,3,dental/coronal,dental/coronal,o,a,2,1,unknown,unclassified: AB 12(so) ↔ AB 01(da),0.0,[AB 12|AB 01]-AB 59-AB 47
AB 59,AB 51,1,3,?,dental/coronal,?,u,2,1,unknown,unclassified: AB 59(?) ↔ AB 51(du),0.0,AB 12-[AB 59|AB 51]-AB 47
AB 47,AB 49,2,3,dental/coronal,?,u,?,2,1,morphological,prefix/suffix substitution: AB 47(nu) ↔ AB 49(?),0.0,AB 12-AB 59-[AB 47|AB 49]
AB 50,AB 39,1,3,dental/coronal,?,u,?,2,1,unknown,unclassified: AB 50(pu) ↔ AB 39(?),0.0,AB 29-[AB 50|AB 39]-AB 07
AB 38,AB 56,0,3,vowel,?,e,?,2,1,morphological,prefix/suffix substitution: AB 38(e) ↔ AB 56(?),0.0,[AB 38|AB 56]-AB 23-AB 63
AB 30,AB 04,2,3,dental/coronal,dental/coronal,i,e,2,1,unknown,unclassified: AB 30(ni) ↔ AB 04(te),0.0,AB 08-AB 44-[AB 30|AB 04]
AB 44,AB 39,1,3,velar/palatal,?,e,?,2,1,unknown,unclassified: AB 44(ke) ↔ AB 39(?),0.0,AB 08-[AB 44|AB 39]-AB 30
AB 30,AB 24,2,3,dental/coronal,dental/coronal,i,e,2,1,unknown,unclassified: AB 30(ni) ↔ AB 24(ne),0.0,AB 08-AB 44-[AB 30|AB 24]
AB 30,AB 87,2,3,dental/coronal,?,i,?,2,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 87(?),0.0,AB 08-AB 44-[AB 30|AB 87]
AB 44,AB 24,1,3,velar/palatal,dental/coronal,e,e,2,1,unknown,unclassified: AB 44(ke) ↔ AB 24(ne),0.0,AB 08-[AB 44|AB 24]-AB 30
AB 30,MET A,2,3,dental/coronal,?,i,?,2,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ MET A(?),0.0,AB 08-AB 44-[AB 30|MET A]
AB 30,AB 46,2,3,dental/coronal,?,i,?,2,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 46(?),0.0,AB 08-AB 44-[AB 30|AB 46]
AB 30,AB 66,2,3,dental/coronal,?,i,?,2,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 66(?),0.0,AB 08-AB 44-[AB 30|AB 66]
AB 30,AB 29,2,3,dental/coronal,dental/coronal,i,u,2,1,unknown,unclassified: AB 30(ni) ↔ AB 29(pu),0.0,AB 08-AB 44-[AB 30|AB 29]
AB 23,AB 59,1,3,dental/coronal,?,u,?,1,2,unknown,unclassified: AB 23(mu) ↔ AB 59(?),0.0,AB 30-[AB 23|AB 59]-AB 01
AB 26,AB 65,0,3,dental/coronal,velar/palatal,u,u,1,2,morphological,prefix/suffix substitution: AB 26(ru) ↔ AB 65(ju),0.0,[AB 26|AB 65]-AB 32-AB 32
AB 08,VASE 7,0,3,vowel,?,a,?,2,1,morphological,prefix/suffix substitution: AB 08(a) ↔ VASE 7(?),0.0,[AB 08|VASE 7]-AB 03-AB 52
AB 08,AB 23,0,3,vowel,dental/coronal,a,u,2,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 23(mu),0.0,[AB 08|AB 23]-AB 03-AB 52
AB 08,AB 114,0,3,vowel,?,a,?,2,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 114(?),0.0,[AB 08|AB 114]-AB 03-AB 52
AB 52,AB 08,2,3,?,vowel,?,a,2,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 08(a),0.0,AB 08-AB 03-[AB 52|AB 08]
AB 52,AB 56,2,3,?,?,?,?,2,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 56(?),0.0,AB 08-AB 03-[AB 52|AB 56]
AB 03,AB 64,1,3,labial,?,a,?,2,1,unknown,unclassified: AB 03(pa) ↔ AB 64(?),0.0,AB 08-[AB 03|AB 64]-AB 52
AB 03,AB 01,1,3,labial,dental/coronal,a,a,2,1,unknown,unclassified: AB 03(pa) ↔ AB 01(da),0.0,AB 08-[AB 03|AB 01]-AB 52
AB 03,AB 62,1,3,labial,?,a,?,2,1,unknown,unclassified: AB 03(pa) ↔ AB 62(?),0.0,AB 08-[AB 03|AB 62]-AB 52
AB 08,A 566,0,3,vowel,?,a,?,2,1,morphological,prefix/suffix substitution: AB 08(a) ↔ A 566(?),0.0,[AB 08|A 566]-AB 03-AB 52
AB 52,AB 44,2,3,?,velar/palatal,?,e,2,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 44(ke),0.0,AB 08-AB 03-[AB 52|AB 44]
AB 03,AB 65,1,3,labial,velar/palatal,a,u,2,1,unknown,unclassified: AB 03(pa) ↔ AB 65(ju),0.0,AB 08-[AB 03|AB 65]-AB 52
AB 08,AB 49,0,3,vowel,?,a,?,2,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 49(?),0.0,[AB 08|AB 49]-AB 03-AB 52
AB 52,AB 59,2,3,?,?,?,?,2,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 59(?),0.0,AB 08-AB 03-[AB 52|AB 59]
AB 08,AB 13,2,3,vowel,labial,a,e,2,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 13(me),0.0,AB 52-AB 22f-[AB 08|AB 13]
AB 08,VASE 7,2,3,vowel,?,a,?,2,1,morphological,prefix/suffix substitution: AB 08(a) ↔ VASE 7(?),0.0,AB 52-AB 22f-[AB 08|VASE 7]
AB 22f,AB 24,1,3,?,dental/coronal,?,e,2,1,unknown,unclassified: AB 22f(?) ↔ AB 24(ne),0.0,AB 52-[AB 22f|AB 24]-AB 08
AB 52,AB 08,0,3,?,vowel,?,a,2,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 08(a),0.0,[AB 52|AB 08]-AB 22f-AB 08
AB 22f,AB 12,1,3,?,dental/coronal,?,o,2,1,unknown,unclassified: AB 22f(?) ↔ AB 12(so),0.0,AB 52-[AB 22f|AB 12]-AB 08
AB 22f,AB 57,1,3,?,velar/palatal,?,a,2,1,unknown,unclassified: AB 22f(?) ↔ AB 57(ja),0.0,AB 52-[AB 22f|AB 57]-AB 08
AB 22f,A 352,1,3,?,?,?,?,2,1,unknown,unclassified: AB 22f(?) ↔ A 352(?),0.0,AB 52-[AB 22f|A 352]-AB 08
AB 52,AB 21f,0,3,?,?,?,?,2,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 21f(?),0.0,[AB 52|AB 21f]-AB 22f-AB 08
AB 22f,AB 78,1,3,?,?,?,e,2,1,unknown,unclassified: AB 22f(?) ↔ AB 78(qe),0.0,AB 52-[AB 22f|AB 78]-AB 08
AB 52,AB 32,0,3,?,vowel,?,i,2,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 32(i),0.0,[AB 52|AB 32]-AB 22f-AB 08
AB 76,AB 09,2,3,labial,dental/coronal,i,e,1,2,morphological,prefix/suffix substitution: AB 76(pi) ↔ AB 09(se),0.0,AB 22f-AB 08-[AB 76|AB 09]
AB 73,AB 32,2,3,?,vowel,?,i,1,2,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 32(i),0.0,AB 59-AB 51-[AB 73|AB 32]
AB 105,AB 26,0,3,?,dental/coronal,?,u,1,2,morphological,prefix/suffix substitution: AB 105(?) ↔ AB 26(ru),0.0,[AB 105|AB 26]-AB 34-AB 51
AB 64,AB 59,0,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: AB 64(?) ↔ AB 59(?),0.0,[AB 64|AB 59]-AB 51-AB 32
AB 38,AB 61,2,3,vowel,vowel,e,o,1,2,unknown,unclassified: AB 38(e) ↔ AB 61(o),0.0,AB 51-AB 32-[AB 38|AB 61]
AB 57,AB 04,0,3,velar/palatal,dental/coronal,a,e,1,2,morphological,prefix/suffix substitution: AB 57(ja) ↔ AB 04(te),0.0,[AB 57|AB 04]-AB 51-AB 06
AB 57,AB 56,0,3,velar/palatal,?,a,?,1,2,morphological,prefix/suffix substitution: AB 57(ja) ↔ AB 56(?),0.0,[AB 57|AB 56]-AB 51-AB 06
AB 29,VASE 4,1,3,dental/coronal,?,u,?,2,1,unknown,unclassified: AB 29(pu) ↔ VASE 4(?),0.0,AB 87-[AB 29|VASE 4]-AB 77
AB 87,MET H,0,3,?,?,?,?,2,1,morphological,prefix/suffix substitution: AB 87(?) ↔ MET H(?),0.0,[AB 87|MET H]-AB 29-AB 77
AB 77,MET H,2,3,velar/palatal,?,a,?,2,1,morphological,prefix/suffix substitution: AB 77(ka) ↔ MET H(?),0.0,AB 87-AB 29-[AB 77|MET H]
VASE 6,AB 22,2,3,?,labial,?,i,1,2,morphological,prefix/suffix substitution: VASE 6(?) ↔ AB 22(pi),0.0,AB 29-AB 77-[VASE 6|AB 22]
AB 44,AB 45,0,3,velar/palatal,dental/coronal,e,i,1,2,morphological,prefix/suffix substitution: AB 44(ke) ↔ AB 45(ri),0.0,[AB 44|AB 45]-AB 23-AB 65
A 396,AB 01,0,3,?,dental/coronal,?,a,1,2,morphological,prefix/suffix substitution: A 396(?) ↔ AB 01(da),0.0,[A 396|AB 01]-AB 66-AB 02
A 396,AB 05,0,3,?,dental/coronal,?,o,1,2,morphological,prefix/suffix substitution: A 396(?) ↔ AB 05(to),0.0,[A 396|AB 05]-AB 66-AB 02
AB 77,VASE 3,2,3,velar/palatal,?,a,?,1,2,morphological,prefix/suffix substitution: AB 77(ka) ↔ VASE 3(?),0.0,VASE 3-VASE 3-[AB 77|VASE 3]
A 347,AB 29,2,3,?,dental/coronal,?,u,1,2,morphological,prefix/suffix substitution: A 347(?) ↔ AB 29(pu),0.0,AB 73-AB 86-[A 347|AB 29]
A 347,VASE 7,2,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: A 347(?) ↔ VASE 7(?),0.0,AB 73-AB 86-[A 347|VASE 7]
AB 48,AB 86,1,3,?,?,?,o,1,2,unknown,unclassified: AB 48(?) ↔ AB 86(lo),0.0,AB 73-[AB 48|AB 86]-AB 29
AB 06,AB 23,1,3,dental/coronal,dental/coronal,a,u,1,2,phonetic,"same class (dental/coronal), different vowel: AB 06(na) ↔ AB 23(mu)",0.5,AB 45-[AB 06|AB 23]-AB 65
AB 06,AB 02,2,3,dental/coronal,dental/coronal,a,o,1,2,unknown,unclassified: AB 06(na) ↔ AB 02(ro),0.0,AB 01-AB 66-[AB 06|AB 02]
A 346,AB 51,1,3,?,dental/coronal,?,u,1,2,unknown,unclassified: A 346(?) ↔ AB 51(du),0.0,AB 03-[A 346|AB 51]-AB 01
AB 32,AB 01,0,3,vowel,dental/coronal,i,a,1,2,morphological,prefix/suffix substitution: AB 32(i) ↔ AB 01(da),0.0,[AB 32|AB 01]-AB 66-AB 02
AB 32,AB 05,0,3,vowel,dental/coronal,i,o,1,2,morphological,prefix/suffix substitution: AB 32(i) ↔ AB 05(to),0.0,[AB 32|AB 05]-AB 66-AB 02
VASE 7,AB 01,1,3,?,dental/coronal,?,a,1,2,unknown,unclassified: VASE 7(?) ↔ AB 01(da),0.0,AB 36-[VASE 7|AB 01]-AB 36
VASE 7,AB 69,1,3,?,dental/coronal,?,u,1,2,unknown,unclassified: VASE 7(?) ↔ AB 69(tu),0.0,AB 36-[VASE 7|AB 69]-AB 36
AB 01,AB 26,1,3,dental/coronal,dental/coronal,a,u,2,1,phonetic,"same class (dental/coronal), different vowel: AB 01(da) ↔ AB 26(ru)",0.5,AB 36-[AB 01|AB 26]-AB 36
AB 01,VASE 4,1,3,dental/coronal,?,a,?,2,1,unknown,unclassified: AB 01(da) ↔ VASE 4(?),0.0,AB 36-[AB 01|VASE 4]-AB 36
AB 36,AB 52,2,3,velar/palatal,?,o,?,2,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 52(?),0.0,AB 36-AB 01-[AB 36|AB 52]
AB 36,AB 04,2,3,velar/palatal,dental/coronal,o,e,2,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 04(te),0.0,AB 36-AB 01-[AB 36|AB 04]
AB 36,AB 05,2,3,velar/palatal,dental/coronal,o,o,2,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 05(to),0.0,AB 36-AB 01-[AB 36|AB 05]
AB 36,AB 02,2,3,velar/palatal,dental/coronal,o,o,2,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 02(ro),0.0,AB 36-AB 01-[AB 36|AB 02]
AB 71,AB 26,2,3,velar/palatal,dental/coronal,e,u,1,2,morphological,prefix/suffix substitution: AB 71(ke) ↔ AB 26(ru),0.0,AB 51-AB 06-[AB 71|AB 26]
AB 71,AB 36,2,3,velar/palatal,velar/palatal,e,o,1,2,unknown,unclassified: AB 71(ke) ↔ AB 36(jo),0.0,AB 51-AB 06-[AB 71|AB 36]
AB 71,AB 04,2,3,velar/palatal,dental/coronal,e,e,1,2,morphological,prefix/suffix substitution: AB 71(ke) ↔ AB 04(te),0.0,AB 51-AB 06-[AB 71|AB 04]
AB 54,AB 10,2,3,labial,vowel,a,u,2,1,morphological,prefix/suffix substitution: AB 54(wa) ↔ AB 10(u),0.0,AB 08-AB 52-[AB 54|AB 10]
AB 54,AB 03,2,3,labial,labial,a,a,2,1,unknown,unclassified: AB 54(wa) ↔ AB 03(pa),0.0,AB 08-AB 52-[AB 54|AB 03]
AB 54,AB 58,2,3,labial,?,a,?,2,1,morphological,prefix/suffix substitution: AB 54(wa) ↔ AB 58(?),0.0,AB 08-AB 52-[AB 54|AB 58]
AB 52,AB 66,1,3,?,?,?,?,2,1,unknown,unclassified: AB 52(?) ↔ AB 66(?),0.0,AB 08-[AB 52|AB 66]-AB 54
MET H,AB 06,0,3,?,dental/coronal,?,a,1,2,morphological,prefix/suffix substitution: MET H(?) ↔ AB 06(na),0.0,[MET H|AB 06]-AB 66-AB 03
AB 66,AB 87,2,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: AB 66(?) ↔ AB 87(?),0.0,AB 66-AB 03-[AB 66|AB 87]
AB 66,A 400,2,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: AB 66(?) ↔ A 400(?),0.0,AB 66-AB 03-[AB 66|A 400]
AB 03,AB 01,0,3,labial,dental/coronal,a,a,1,2,morphological,prefix/suffix substitution: AB 03(pa) ↔ AB 01(da),0.0,[AB 03|AB 01]-AB 66-AB 02
AB 03,AB 05,0,3,labial,dental/coronal,a,o,1,2,morphological,prefix/suffix substitution: AB 03(pa) ↔ AB 05(to),0.0,[AB 03|AB 05]-AB 66-AB 02
AB 85,AB 62,2,3,?,?,?,?,1,2,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 62(?),0.0,VASE 7-AB 65-[AB 85|AB 62]
AB 07,AB 56,2,3,dental/coronal,?,i,?,2,1,morphological,prefix/suffix substitution: AB 07(di) ↔ AB 56(?),0.0,AB 13-AB 23-[AB 07|AB 56]
AB 13,AB 45,0,3,labial,dental/coronal,e,i,2,1,morphological,prefix/suffix substitution: AB 13(me) ↔ AB 45(ri),0.0,[AB 13|AB 45]-AB 23-AB 07
AB 13,AB 21f,0,3,labial,?,e,?,2,1,morphological,prefix/suffix substitution: AB 13(me) ↔ AB 21f(?),0.0,[AB 13|AB 21f]-AB 23-AB 07
AB 23,AB 46,0,3,dental/coronal,?,u,?,1,2,morphological,prefix/suffix substitution: AB 23(mu) ↔ AB 46(?),0.0,[AB 23|AB 46]-AB 07-AB 29
AB 55,AB 23,2,3,dental/coronal,dental/coronal,u,u,2,1,unknown,unclassified: AB 55(nu) ↔ AB 23(mu),0.0,AB 56-AB 45-[AB 55|AB 23]
AB 55,AB 04,2,3,dental/coronal,dental/coronal,u,e,2,1,unknown,unclassified: AB 55(nu) ↔ AB 04(te),0.0,AB 56-AB 45-[AB 55|AB 04]
AB 55,AB 51,2,3,dental/coronal,dental/coronal,u,u,2,1,unknown,unclassified: AB 55(nu) ↔ AB 51(du),0.0,AB 56-AB 45-[AB 55|AB 51]
AB 55,AB 36,2,3,dental/coronal,velar/palatal,u,o,2,1,morphological,prefix/suffix substitution: AB 55(nu) ↔ AB 36(jo),0.0,AB 56-AB 45-[AB 55|AB 36]
