triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
44165,3,"C,V,both",AB 30,AB 32,AB 42,"AB 12,AB 38","AB 38,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.088,0.172,0.18,0.079,0.297,0.615,419,290,974
44247,3,"C,V,both",AB 30,AB 82,AB 60,"AB 12,AB 70","AB 27,AB 39,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.088,0.095,0.224,0.079,0.714,0.262,419,21,1243
47394,3,"C,V,both",AB 34,AB 43,AB 38,"AB 12,AB 59","AB 15,AB 24,AB 70",True,True,True,3,,,,0.0,0.0,0.0,0.731,0.947,0.701,0.0,0.0,0.127,26,94,1563
51348,3,"C,V,both",AB 40,AB 59,AB 76,"AB 12,AB 70","AB 37,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.267,0.18,0.016,0.086,0.436,0.459,405,1217,61
51791,3,"C,V,both",AB 41,AB 83,AB 75,AB 38,"AB 26,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.158,0.217,0.243,0.29,0.043,0.432,720,23,940
54208,3,"C,V,both",AB 46,AB 57,AB 73,"AB 10,AB 12,AB 70","AB 54,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.064,0.059,0.253,0.156,0.654,0.111,173,1222,288
58186,3,"C,V,both",AB 60,AB 30,AB 33,"AB 12,AB 70",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.224,0.088,0.0,0.262,0.079,0.429,1243,419,21
59332,3,"C,V,both",AB 70,AB 65,AB 21,"AB 05,AB 37","AB 08,AB 12,AB 38",True,True,True,3,,,,0.0,0.0,0.0,0.55,0.0,0.298,0.176,0.36,0.074,1564,25,94
59343,3,"C,V,both",AB 70,AB 22,AB 29,"AB 02,AB 37","AB 07,AB 36,AB 51",True,True,True,3,,,,0.0,0.0,0.0,0.55,0.164,0.423,0.176,0.075,0.058,1564,67,52
933,3,"C,V,both",AB 01,AB 80,AB 37,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.506,0.418,0.225,0.059,0.172,0.106,640,447,595
2781,3,"C,V,both",AB 02,AB 20,AB 29,"AB 02,AB 38","AB 36,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.048,0.199,0.423,0.677,0.371,0.058,1479,151,52
2789,3,"C,V,both",AB 02,AB 20,AB 74,"AB 02,AB 10,AB 38","AB 02,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.048,0.199,0.25,0.677,0.371,0.154,1479,151,52
8167,3,"C,V,both",AB 04,AB 80,AB 51,"AB 02,AB 12","AB 10,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.28,0.418,0.444,0.265,0.172,0.145,1118,447,117
8195,3,"C,V,both",AB 04,AB 45,AB 29,"AB 02,AB 12","AB 36,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.28,0.148,0.423,0.265,0.701,0.058,1118,512,52
8202,3,"C,V,both",AB 04,AB 45,AB 74,AB 12,"AB 02,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.28,0.148,0.25,0.265,0.701,0.154,1118,512,52
12481,3,"C,V,both",AB 06,AB 54,AB 22,"AB 12,AB 37","AB 51,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.06,0.235,0.164,0.439,0.464,0.075,947,668,67
12539,3,"C,V,both",AB 06,AB 80,AB 73,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.06,0.418,0.253,0.439,0.172,0.111,947,447,288
17090,3,"C,V,both",AB 08,AB 81,AB 63,AB 12,"AB 12,AB 54",True,True,True,3,,,,0.0,0.0,0.0,0.904,0.762,0.889,0.074,0.058,0.0,1286,378,18
20155,3,"C,V,both",AB 10,AB 40,AB 81,AB 12,"AB 12,AB 38,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.185,0.267,0.762,0.345,0.086,0.058,899,405,378
20346,3,"C,V,both",AB 10,AB 80,AB 26,"AB 12,AB 56",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.185,0.418,0.348,0.345,0.172,0.086,899,447,336
23051,3,"C,V,both",AB 11,AB 39,AB 72,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.617,0.22,0.653,0.108,0.374,0.056,517,577,588
24429,3,"C,V,both",AB 12,AB 81,AB 39,AB 12,"AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.05,0.762,0.22,0.534,0.058,0.374,727,378,577
30833,3,"C,V,both",AB 16,AB 44,AB 55,AB 12,"AB 12,AB 70,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.598,0.277,0.112,0.197,0.21,0.229,244,1268,170
31734,3,"C,V,both",AB 17,AB 28,AB 75,AB 12,"AB 02,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.25,0.361,0.243,0.537,0.293,0.432,80,662,940
33287,3,"C,V,both",AB 20,AB 73,AB 60,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.199,0.253,0.224,0.371,0.111,0.262,151,288,1243
35206,3,"C,V,both",AB 21,AB 48,AB 70,"AB 12,AB 37","AB 12,AB 37",True,True,True,3,,,,0.0,0.0,0.0,0.298,0.125,0.55,0.074,0.25,0.176,94,24,1564
35571,3,"C,V,both",AB 22,AB 74,AB 38,"AB 12,AB 37","AB 02,AB 07",True,True,True,3,,,,0.0,0.0,0.0,0.164,0.25,0.701,0.075,0.154,0.127,67,52,1563
36468,3,"C,V,both",AB 23,AB 40,AB 60,"AB 12,AB 70",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.471,0.267,0.224,0.029,0.086,0.262,34,405,1243
37347,3,"C,V,both",AB 24,AB 79,AB 44,"AB 38,AB 70","AB 08,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.206,0.0,0.277,0.322,0.571,0.21,407,7,1268
38978,3,"C,V,both",AB 25,AB 50,AB 44,"AB 12,AB 38,AB 70",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.208,0.685,0.277,0.572,0.071,0.21,173,241,1268
41073,3,"C,V,both",AB 27,AB 51,AB 37,"AB 02,AB 38","AB 10,AB 56,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.152,0.444,0.225,0.159,0.145,0.106,970,117,595
42516,3,"C,V,both",AB 28,AB 75,AB 56,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.361,0.243,0.775,0.293,0.432,0.087,662,940,80
44106,3,"C,V,both",AB 30,AB 37,AB 54,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.088,0.225,0.235,0.079,0.106,0.464,419,595,668
45629,3,"C,V,both",AB 32,AB 57,AB 55,AB 12,"AB 02,AB 38,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.172,0.059,0.112,0.297,0.654,0.229,290,1222,170
46029,3,"C,V,both",AB 32,AB 51,AB 61,"AB 02,AB 38","AB 10,AB 38",True,True,True,3,,,,0.0,0.0,0.0,0.172,0.444,0.61,0.297,0.145,0.231,290,117,1275
49866,3,"C,V,both",AB 38,AB 65,AB 21,"AB 05,AB 37","AB 08,AB 12,AB 38",True,True,True,3,,,,0.0,0.0,0.0,0.701,0.0,0.298,0.127,0.36,0.074,1563,25,94
49904,3,"C,V,both",AB 38,AB 22,AB 29,"AB 02,AB 37","AB 07,AB 36,AB 51",True,True,True,3,,,,0.0,0.0,0.0,0.701,0.164,0.423,0.127,0.075,0.058,1563,67,52
50995,3,"C,V,both",AB 40,AB 53,AB 78,"AB 12,AB 38","AB 12,AB 38,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.267,0.164,0.259,0.086,0.121,0.611,405,794,483
52026,3,"C,V,both",AB 42,AB 52,AB 85,"AB 38,AB 59","AB 36,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.18,0.075,1.0,0.615,0.657,0.026,974,670,38
52291,3,"C,V,both",AB 42,AB 67,AB 50,"AB 12,AB 38,AB 70",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.18,0.351,0.685,0.615,0.071,0.071,974,467,241
52935,3,"C,V,both",AB 43,AB 48,AB 70,AB 12,"AB 37,AB 70",True,True,True,3,,,,0.0,0.0,0.0,0.947,0.125,0.55,0.0,0.25,0.176,94,24,1564
53182,3,"C,V,both",AB 44,AB 46,AB 50,"AB 10,AB 12,AB 70","AB 54,AB 59,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.277,0.064,0.685,0.21,0.156,0.071,1268,173,241
57890,3,"C,V,both",AB 59,AB 80,AB 63,AB 12,"AB 28,AB 54,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.18,0.418,0.889,0.436,0.172,0.0,1217,447,18
58150,3,"C,V,both",AB 60,AB 81,AB 76,"AB 12,AB 42,AB 70","AB 12,AB 37",True,True,True,3,,,,0.0,0.0,0.0,0.224,0.762,0.016,0.262,0.058,0.459,1243,378,61
59326,3,"C,V,both",AB 70,AB 85,AB 17,"AB 05,AB 12,AB 59","AB 02,AB 36",True,True,True,3,,,,0.0,0.0,0.0,0.55,1.0,0.25,0.176,0.026,0.537,1564,38,80
59329,3,"C,V,both",AB 70,AB 85,AB 56,"AB 12,AB 53,AB 59","AB 36,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.55,1.0,0.775,0.176,0.026,0.087,1564,38,80
684,3,"C,V,both",AB 01,AB 42,AB 22,"AB 05,AB 37,AB 38","AB 07,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.506,0.18,0.164,0.059,0.615,0.075,640,974,67
729,3,"C,V,both",AB 01,AB 06,AB 43,AB 12,"AB 70,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.506,0.06,0.947,0.059,0.439,0.0,640,947,94
745,3,"C,V,both",AB 01,AB 06,AB 21,"AB 12,AB 36,AB 37","AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.506,0.06,0.298,0.059,0.439,0.074,640,947,94
6082,3,"C,V,both",AB 03,AB 53,AB 33,"AB 12,AB 70",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.7,0.164,0.0,0.104,0.121,0.429,866,794,21
8242,3,"C,V,both",AB 04,AB 58,AB 30,"AB 12,AB 56,AB 70","AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.28,0.535,0.088,0.265,0.035,0.079,1118,144,419
9263,3,"C,V,both",AB 04,AB 56,AB 78,"AB 12,AB 38,AB 70","AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.28,0.775,0.259,0.265,0.087,0.611,1118,80,483
