triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
8291,3,"C,V,both",AB 26,AB 52,AB 56,AB 56,"AB 08,AB 63,AB 66",False,True,True,2,,no,pa,0.0,0.2915,0.2148,0.269,0.094,0.144,0.178,0.094,0.106,219,117,132
9671,3,"C,V,both",AB 36,AB 65,AB 44,"AB 24,AB 52,AB 56","AB 08,AB 56",True,True,False,2,jo,jo,,0.3901,0.2831,0.0,0.363,0.092,0.075,0.324,0.058,0.087,333,120,80
11345,3,"C,V,both",AB 52,AB 54,AB 62,AB 56,"AB 08,AB 63,AB 66",True,False,True,2,no,,ta,0.2915,0.0,0.1386,0.094,0.083,0.403,0.094,0.056,0.394,117,36,437
12057,3,"C,V,both",AB 65,AB 13,AB 85,"AB 10,AB 56","AB 04,AB 08,AB 56",True,False,True,2,jo,,au,0.2831,0.0,0.1286,0.092,0.178,0.469,0.058,0.089,0.47,120,45,508
74,3,"C,V,both",AB 01,AB 32,AB 02,AB 56,AB 56,True,False,True,2,da,,ro,0.525,0.0,0.3403,0.154,0.098,0.337,0.091,0.116,0.441,143,112,279
164,3,"C,V,both",AB 01,AB 22f,AB 36,AB 56,"AB 07,AB 56",True,False,True,2,da,,jo,0.525,0.0,0.3901,0.154,0.103,0.363,0.091,0.138,0.324,143,58,333
480,3,"C,V,both",AB 01,AB 36,AB 34,AB 56,AB 56,True,True,False,2,da,jo,,0.525,0.3901,0.0,0.154,0.363,0.085,0.091,0.324,0.119,143,333,59
716,3,"C,V,both",AB 01,AB 59,AB 08,AB 56,"AB 10,AB 56,AB 66",True,True,False,2,da,ta,,0.525,0.0979,0.0,0.154,0.11,0.435,0.091,0.15,0.081,143,100,209
1047,3,"C,V,both",AB 02,AB 46,AB 08,"AB 07,AB 08,AB 56","AB 49,AB 56",True,True,False,2,ro,je,,0.3403,0.2109,0.0,0.337,0.196,0.435,0.441,0.157,0.081,279,51,209
1461,3,"C,V,both",AB 02,AB 87,AB 26,"AB 08,AB 56","AB 36,AB 66",True,True,False,2,ro,lo,,0.3403,0.1181,0.0,0.337,0.18,0.269,0.441,0.295,0.178,279,61,219
1821,3,"C,V,both",AB 03,AB 49,AB 51,AB 07,"AB 08,AB 56,AB 66",False,True,True,2,,we,du,0.0,0.2994,0.2566,0.097,0.163,0.172,0.087,0.145,0.161,103,172,180
3128,3,"C,V,both",AB 05,AB 29,AB 62,"AB 10,AB 26","AB 01,AB 50",False,True,True,2,,pu,ta,0.0,0.3253,0.1386,0.118,0.118,0.403,0.059,0.243,0.394,17,144,437
4306,3,"C,V,both",AB 07,AB 29,AB 26,AB 56,"AB 08,AB 56,AB 66",True,True,False,2,di,pu,,0.4855,0.3253,0.0,0.083,0.118,0.269,0.101,0.243,0.178,109,144,219
4647,3,"C,V,both",AB 08,AB 49,AB 73,"AB 01,AB 48,AB 56","AB 06,AB 56",False,True,True,2,,we,mi,0.0,0.2994,0.0979,0.435,0.163,0.118,0.081,0.145,0.132,209,172,68
5280,3,"C,V,both",AB 09,AB 85,AB 59,"AB 08,AB 36","AB 08,AB 66",False,True,True,2,,au,ta,0.0,0.1286,0.0979,0.058,0.469,0.11,0.232,0.47,0.15,69,508,100
7134,3,"C,V,both",AB 23,AB 54,AB 66,"AB 51,AB 56,AB 66",AB 66,True,False,True,2,mu,,ta,0.4072,0.0,0.1687,0.074,0.083,0.362,0.074,0.056,0.356,94,36,461
11818,3,"C,V,both",AB 62,AB 07,AB 12,"AB 01,AB 10,AB 56","AB 50,AB 52",True,True,False,2,ta,di,,0.1386,0.4855,0.0,0.403,0.083,0.07,0.394,0.101,0.14,437,109,43
949,3,"C,V,both",AB 02,AB 23,AB 04,AB 56,AB 56,True,True,False,2,ro,mu,,0.3403,0.4072,0.0,0.337,0.074,0.215,0.441,0.074,0.301,279,94,186
