greek,transliteration,english_gloss,minoan_form,category,query,matched,distance,distance_threshold,inscription_id,gorila_id,site,material,period,semantic_score,confidence_score,found_commodities,context_syllabograms
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARU,1,1,1606,ZA4a,Zakros,stone,Uncertain,0.1,43.0,,5JA
Ἄργος,Argos,Argos,arg,place_name,ARUKU,RARUKU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫
Ἄργος,Argos,Argos,arg,place_name,ARUKU,RUKU,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,SE1QE
Ἄργος,Argos,Argos,arg,place_name,ARUKU,RUKU,1,1,1182,KH49,Khania,clay,LM IB,0.1,43.0,,𐝫RU
Ἄργος,Argos,Argos,arg,place_name,ARUKU,AJAKU,1,1,1406,KNZf13,Knossos,metal,LM IA,0.1,43.0,,MUAJA
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,PUKU,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,DIKISE
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,MURUKU,1,1,61,HT46a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫MURU
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,KARUKU,1,1,106,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KARU𐄁
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,KARUKU,1,1,107,HT86b,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KARU𐄁
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,PUMAKU,1,1,181,HT139,Haghia Triada - Casa del Lebete,clay,LM IB,0.1,43.0,,PUMAKU
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,SARUKU,1,1,117,HT94b,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,1KEKI
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,SARUKU,1,1,118,HT95a,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,MINUTE
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,ARUKU,1,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,DINAU
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,MARUKU,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,TU1KU
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,RARUKU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫
Πύργος,Pyrgos,Pyrgos (place/tower),purg,place_name,PURUKU,RUKU,1,1,1182,KH49,Khania,clay,LM IB,0.1,43.0,,𐝫RU
Πακτύη,Paktyē,Paktye,paktu,place_name,PAKUTUU,PAKUNUU,1,1,1398,KNZc6,Knossos,,Uncertain,0.1,43.0,,JUKUNAPA
Σηπιάς,Sēpias,Sepias,sepia,place_name,SEPIA,SEA,1,1,1652,ZAZb3,Zakros,stone,LM IB,0.1,38.0,,DIKA
Σηπιάς,Sēpias,Sepias,sepia,place_name,SEPIA,PIA,1,1,1618,ZA11a,Zakros,stone,Uncertain,0.1,38.0,,SIVIN¹⁄₂
Σηπιάς,Sēpias,Sepias,sepia,place_name,SEPIA,PIA,1,1,1632,ZA21a,Zakros,stone,Uncertain,0.1,38.0,,MATE
Θήρα,Thēra,Thera,tʰer,place_name,TUERU,SIERU,1,1,1618,ZA11a,Zakros,stone,Uncertain,0.1,43.0,,*516
Θήρα,Thēra,Thera,tʰer,place_name,TUERU,TURU,1,1,168,HT128a,Haghia Triada - Casa del Lebete,clay,LM IB,0.1,43.0,,PARATU
Θήρα,Thēra,Thera,tʰer,place_name,TUERU,TURU,1,1,1410,KOZa1,Kophinas,stone,Uncertain,0.1,43.0,,JATURU
Θήρα,Thēra,Thera,tʰer,place_name,TUERU,TUTERU,1,1,1631,ZA20,Zakros,stone,LM IB,0.1,43.0,,4TE
Περγαμός,Pergamos,Pergamon,pergam,place_name,RUKUAMU,RUKUARA,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,SE1QESU
Λακωνία,Lakōnia,Laconia,lakon,place_name,RAKONU,RAKO,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,RE1NA
Λακωνία,Lakōnia,Laconia,lakon,place_name,RAKONU,RAKO,1,1,1411,KO(?)Zf2,Kophinas,metal,Uncertain,0.1,43.0,,RAKOKU
Λακωνία,Lakōnia,Laconia,lakon,place_name,RAKONU,RANENU,1,1,149,HT115b,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,PARANE
Μίλητος,Milētos,Miletus,milet,place_name,MIRETU,MITU,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,𐄁USU
Μίλητος,Milētos,Miletus,milet,place_name,MIRETU,RETU,1,1,1529,PKZa8,Palaikastro,stone,Uncertain,0.1,43.0,,TE*307PU₂
Μίλητος,Milētos,Miletus,milet,place_name,MIRETU,RETU,1,1,1612,ZA7a,Zakros,stone,Uncertain,0.1,43.0,,4ARE
Μίλητος,Milētos,Miletus,milet,place_name,MIRETU,MITETU,1,1,1631,ZA20,Zakros,stone,LM IB,0.1,43.0,,SEMI
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKUTU,0,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,58.0,,𐝫RI
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKURO,1,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,NAU4
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKURO,1,1,117,HT94b,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KEKIRU
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,NIKUTU,1,1,1614,ZA8,Zakros,stone,LM IB,0.1,43.0,,RE𐄁NI
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKUNI,1,1,106,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,0.15,44.5,GRA,RU𐄁KU
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKUNI,1,1,107,HT86b,Haghia Triada - Casa Room 7,clay,LM IB,0.15,44.5,GRA,RU𐄁KU
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKUNI,1,1,118,HT95a,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,NUTE10
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,SEKUTU,1,1,148,HT115a,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,URANA
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RARUKUTU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKUA,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,SE1QE
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKUPA₃,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,1KURA
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,KUTU,1,1,1598,TY3a,Tylissos,clay,Uncertain,0.2,46.0,"OLE+U,OLE",NE
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKU,1,1,61,HT46a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,MURU1
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKU,1,1,1182,KH49,Khania,clay,LM IB,0.1,43.0,,𐝫RU
Ἔλυρος,Elyros,Elyrus,elur,place_name,ERURU,ERUJU,1,1,1618,ZA11a,Zakros,stone,Uncertain,0.1,43.0,,
Ἔλυρος,Elyros,Elyrus,elur,place_name,ERURU,MARURU,1,1,31,HT24a,Haghia Triada - Corridor 9 and Vestibule 26,clay,LM IB,0.1,43.0,,9MA
Ἀξός,Axos,Axos,aks,place_name,AKUSU,AKUKU,1,1,60,HT45b,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫—8
Ἀξός,Axos,Axos,aks,place_name,AKUSU,AKU,1,1,1231,KH99,Khania,clay,Uncertain,0.1,43.0,,A*118
Ἀξός,Axos,Axos,aks,place_name,AKUSU,AKU,1,1,1449,PA1,Papourou,clay,Uncertain,0.1,43.0,,AKUJU
Ἀξός,Axos,Axos,aks,place_name,AKUSU,ASASU,1,1,1683,GOWc1a,Gournia,clay,Uncertain,0.1,43.0,,ASASU
Ἀξός,Axos,Axos,aks,place_name,AKUSU,ASISU,1,1,1143,KH9,Khania,clay,LM IB,0.15,44.5,VIR,ASISU
Ἀξός,Axos,Axos,aks,place_name,AKUSU,ADESU,1,1,1668,ARKH4a,Arkhalkhori,clay,Uncertain,0.1,43.0,,TARE5
Ἀξός,Axos,Axos,aks,place_name,AKUSU,ASU,1,1,1663,ARKH1a,Arkhalkhori,clay,Uncertain,0.1,43.0,,KI𐝫
Παισός,Paisos,Paisus,pais,place_name,PAISU,PAISA,1,1,86,HT62+73,Haghia Triada - Villa Magazine,clay,LM IB,0.1,38.0,,¹⁄₄KA
Παισός,Paisos,Paisus,pais,place_name,PAISU,PAIMA,1,1,1611,ZA6b,Zakros,stone,Uncertain,0.25,42.5,"GRA,GRA+PA,VIN",50
Παισός,Paisos,Paisus,pais,place_name,PAISU,PAROSU,1,1,26,HT20,Haghia Triada - Villa Magazine,clay,LM IB,0.1,38.0,,PAROSU
Παισός,Paisos,Paisus,pais,place_name,PAISU,PAIDI,1,1,122,HT97a,Haghia Triada - Casa Room 7,clay,LM IB,0.15,39.5,VIR,𐄁82
Παισός,Paisos,Paisus,pais,place_name,PAISU,PASU,1,1,1365,KN32b,Knossos,clay,Uncertain,0.1,38.0,,SA
Παισός,Paisos,Paisus,pais,place_name,PAISU,PASU,1,1,1626,ZA16,Zakros,stone,LM IB,0.1,38.0,,SI𐝫
Παισός,Paisos,Paisus,pais,place_name,PAISU,PAII,1,1,56,HT43,Haghia Triada - Villa Magazine,clay,LM IB,0.2,41.0,"GRA,GRA+PA",𐄁PA*342
Παισός,Paisos,Paisus,pais,place_name,PAISU,PAI,1,1,1614,ZA8,Zakros,stone,LM IB,0.1,38.0,,RINITA
Λέσβος,Lesbos,Lesbos,lesb,place_name,RESUPU,SUPU,1,1,43,HT31,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,KO𐄁*410
Λέσβος,Lesbos,Lesbos,lesb,place_name,RESUPU,SUPU,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,1DIKI
Λέσβος,Lesbos,Lesbos,lesb,place_name,RESUPU,SUPU,1,1,1665,ARKH2,Arkhalkhori,clay,LM IB,0.1,43.0,,12*301
Νάξος,Naxos,Naxos,naks,place_name,NAKUSU,NAKUPA,1,1,1138,KH5,Khania,clay,LM IB,0.15,44.5,VIN,22
Νάξος,Naxos,Naxos,naks,place_name,NAKUSU,NAKUPA,1,1,1450,PE1,Petras,clay,Uncertain,0.1,43.0,,NAKUPA
Νάξος,Naxos,Naxos,naks,place_name,NAKUSU,NASU,1,1,1074,HTWc3010,Haghia Triada,clay,LM IB,0.1,43.0,,DINASU
Νάξος,Naxos,Naxos,naks,place_name,NAKUSU,NASU,1,1,1550,PRZa1,Prassa,stone,LM IA,0.1,43.0,,NASUTE
Νάξος,Naxos,Naxos,naks,place_name,NAKUSU,NAKU,1,1,16,HT11a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,3KA
Νάξος,Naxos,Naxos,naks,place_name,NAKUSU,NAKU,1,1,161,HT123+124b,Haghia Triada - Casa del Lebete,clay,LM IB,0.1,43.0,,SA4
Μόχλος,Mochlos,Mochlos,mokʰl,place_name,MOKURU,KURU,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KISE1
Ζάκρος,Zakros,Zakros,zakr,place_name,ZAKURU,KURU,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KISE1
Ζάκρος,Zakros,Zakros,zakr,place_name,ZAKURU,ZARU,1,1,14,HT10a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐄁DARE
νήριτον,neriton,sea-plant,nerit,nature,NERITU,PARITU,1,1,99,HT79+83,Haghia Triada - Villa Magazine,clay,LM IB,0.05,41.5,,DAPA₃
νήριτον,neriton,sea-plant,nerit,nature,NERITU,NESITU,1,1,222,HTWa1019,Haghia Triada - Portico 11 and Room 13,,LM IB,0.05,41.5,,NESITU
νήριτον,neriton,sea-plant,nerit,nature,NERITU,NERITA,1,1,1139,KH6,Khania,clay,LM IB,0.05,41.5,,TERE
νήριτον,neriton,sea-plant,nerit,nature,NERITU,NETU,1,1,158,HT122a,Haghia Triada - Casa del Lebete,clay,LM IB,0.05,41.5,,DARE
μίνθη,minthē,mint,mintʰ,nature,MINUTU,MITU,1,1,152,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,0.05,41.5,,𐄁USU
μίνθη,minthē,mint,mintʰ,nature,MINUTU,MINU,1,1,106,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,WA10—
μίνθη,minthē,mint,mintʰ,nature,MINUTU,MINU,1,1,118,HT95a,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,DAME10
μίνθη,minthē,mint,mintʰ,nature,MINUTU,MINU,1,1,119,HT95b,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,𐝫𐄁𐝫
μίνθη,minthē,mint,mintʰ,nature,MINUTU,MINU,1,1,134,HT106,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,MINUTE
μίνθη,minthē,mint,mintʰ,nature,MINUTU,MINU,1,1,1415,MA1a,Malia,,Uncertain,0.05,41.5,,QEDEMI
μίνθη,minthē,mint,mintʰ,nature,MINUTU,MINU,1,1,1416,MA1b,Malia,,Uncertain,0.05,41.5,,QEDEMI
μίνθη,minthē,mint,mintʰ,nature,MINUTU,MITETU,1,1,1631,ZA20,Zakros,stone,LM IB,0.05,41.5,,SEMI
σίναπι,sinapi,mustard,sinap,nature,SINAPU,SINA,1,1,1174,KH40,Khania,clay,LM IB,0.05,36.5,,𐝫SINA
σίναπι,sinapi,mustard,sinap,nature,SINAPU,SINA,1,1,1450,PE1,Petras,clay,Uncertain,0.05,36.5,,SINAKU
σίναπι,sinapi,mustard,sinap,nature,SINAPU,SIPU,1,1,1095,HTZb161,Haghia Triada,pottery/ceramic,LM IB,0.05,36.5,,SIPUai?
κρόκος,krokos,saffron,krok,nature,KURUOKU,KURUKU,1,1,108,HT87,Haghia Triada - Casa Room 7,clay,LM IB,0.05,41.5,,KISE1QE
