egyptian_id,egyptian_english,egyptian_category,egyptian_subcategory,egyptian_skeleton,egyptian_class_str,gorila_id,site,material,period,object_type,match_sign_start,match_sign_end,match_length,matched_signs,matched_classes,source,commodities_nearby,commodity_context,score
jrtt,milk,agriculture,food,rtt,RTT,HT122a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),30,32,3,ri+da+da,RTT,expanded,,False,55.0
jrtt,milk,agriculture,food,rtt,RTT,CRZg4,Crete,stone,Uncertain,Stone object,0,2,3,ru+da+da,RTT,expanded,,False,55.0
nbw,gold,metals,precious,nbw,NPW,HT3,Haghia Triada - Portico 11 and Room 13,clay,LM IB,tablet (page-shaped),10,12,3,mu+pa+jo,NPW,expanded,,False,55.0
nbw,gold,metals,precious,nbw,NPW,HT88,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),17,19,3,nu+pa+ja,NPW,expanded,,False,55.0
nbw,gold,metals,precious,nbw,NPW,PH2,Phaistos,clay,Uncertain,tablet (page-shaped),8,10,3,mu+pa+wa,NPW,expanded,,False,55.0
nbw,gold,metals,precious,nbw,NPW,ZA10b,Zakros,stone,Uncertain,stone vessel,21,23,3,ne+pa+ja,NPW,expanded,,False,55.0
nbw,gold,metals,precious,nbw,NPW,GOWc1a,Gournia,clay,Uncertain,roundel,1,3,3,ni+pu+ju,NPW,expanded,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,HT28b,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),5,7,3,mi+na+si,NNS,conventional,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,HT115a,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),13,15,3,mi+na+se,NNS,conventional,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,HT117a,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),7,9,3,mi+na+si,NNS,conventional,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,HTZb159,Haghia Triada,pottery/ceramic,LM IB,Clay vessel,1,3,3,na+nu+si,NNS,conventional,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,IOZa2,Iouktas,stone,Uncertain,stone vessel,21,23,3,na+ma+si,NNS,conventional,,False,55.0
mns^,jar/amphora (Canaanite),commodities,vessel,mns,NNS,IOZa15,Iouktas,stone,Uncertain,stone vessel,2,4,3,na+ma+si,NNS,conventional,,False,55.0
