sign_id,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient
n,0.012552,0.000000,0.001644,1.000000
o,0.012552,0.000000,0.001182,1.000000
—,0.439331,0.007212,0.004058,0.673626
𐄁,0.861925,0.081320,0.031977,0.357282
𐄇,0.761506,0.052852,0.034246,0.415154
𐄈,0.753138,0.040800,0.024377,0.428802
𐄉,0.744770,0.050619,0.020709,0.423729
𐄊,0.661088,0.022136,0.015592,0.495042
𐄋,0.778243,0.045920,0.016315,0.412903
𐄌,0.573222,0.012669,0.011575,0.583942
𐄍,0.610879,0.016848,0.011760,0.543127
𐄎,0.523013,0.008153,0.008203,0.621806
𐄏,0.364017,0.001311,0.004440,0.824379
𐄐,0.765690,0.040933,0.028909,0.422687
𐄑,0.623431,0.015020,0.014147,0.534917
𐄒,0.556485,0.014497,0.007405,0.579175
𐄓,0.531381,0.008030,0.007411,0.628921
𐄔,0.430962,0.005549,0.006027,0.693889
𐄕,0.439331,0.003718,0.004918,0.697253
𐄖,0.426778,0.006185,0.006032,0.652495
𐄗,0.276151,0.002019,0.002744,0.790210
𐄘,0.410042,0.004853,0.002563,0.681044
𐄙,0.506276,0.012513,0.006871,0.603030
𐄚,0.246862,0.002061,0.002583,0.766219
𐄛,0.259414,0.000680,0.001398,0.845056
𐄜,0.234310,0.001558,0.001723,0.764286
𐄝,0.075314,0.000000,0.001534,1.000000
𐄞,0.092050,0.000041,0.001117,0.948052
𐄡,0.112971,0.000000,0.000886,1.000000
𐄢,0.112971,0.000000,0.000766,1.000000
𐄤,0.125523,0.000000,0.000951,1.000000
𐝫,0.899582,0.138316,0.041752,0.327277
󽇫,0.058577,0.000000,0.000955,1.000000
