gorila_id,inscription_id,num_signs,strategy,num_boundaries,confidence,has_ground_truth,details
ARZf2,1661,5,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
ARZf2,1661,5,viterbi_hmm,1,1.0000,False,"within_pairs=2768, cross_pairs=382"
CR(?)Zf1,1676,22,bigram_transition,5,1.0000,True,"threshold=0.012821, p25"
CR(?)Zf1,1676,22,boundary_entropy,17,1.0000,True,"threshold=1.0000, median=1.0000"
CR(?)Zf1,1676,22,consensus,4,1.0000,True,"4 strategies, 4 accepted"
CR(?)Zf1,1676,22,ground_truth,4,1.0000,True,4 divider(s)
CR(?)Zf1,1676,22,positional_profile,4,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
CR(?)Zf1,1676,22,viterbi_hmm,5,1.0000,True,"within_pairs=2768, cross_pairs=382"
CRZf5,1677,1,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
CRZf5,1677,1,boundary_entropy,0,1.0000,False,"threshold=1.0000, median=1.0000"
CRZf5,1677,1,consensus,0,0.0000,False,"4 strategies, 0 accepted"
CRZf5,1677,1,ground_truth,0,0.0000,False,0 divider(s)
CRZf5,1677,1,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
CRZf5,1677,1,viterbi_hmm,0,1.0000,False,too short
CRZg3,1678,6,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
CRZg3,1678,6,boundary_entropy,3,1.0000,False,"threshold=1.0000, median=1.0000"
CRZg3,1678,6,consensus,0,0.0000,False,"4 strategies, 0 accepted"
CRZg3,1678,6,ground_truth,0,0.0000,False,0 divider(s)
CRZg3,1678,6,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
CRZg3,1678,6,viterbi_hmm,4,1.0000,False,"within_pairs=2768, cross_pairs=382"
CRZg4,1679,6,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
CRZg4,1679,6,boundary_entropy,5,1.0000,False,"threshold=1.0000, median=1.0000"
CRZg4,1679,6,consensus,0,0.0000,False,"4 strategies, 0 accepted"
CRZg4,1679,6,ground_truth,0,0.0000,False,0 divider(s)
CRZg4,1679,6,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
CRZg4,1679,6,viterbi_hmm,3,1.0000,False,"within_pairs=2768, cross_pairs=382"
DRAZg1,1702,4,bigram_transition,1,1.0000,False,"threshold=0.012821, p25"
DRAZg1,1702,4,boundary_entropy,2,1.0000,False,"threshold=1.0000, median=1.0000"
DRAZg1,1702,4,consensus,0,0.0000,False,"4 strategies, 0 accepted"
DRAZg1,1702,4,ground_truth,0,0.0000,False,0 divider(s)
DRAZg1,1702,4,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
DRAZg1,1702,4,viterbi_hmm,1,1.0000,False,"within_pairs=2768, cross_pairs=382"
FOZc1,1680,3,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
FOZc1,1680,3,boundary_entropy,2,1.0000,False,"threshold=1.0000, median=1.0000"
FOZc1,1680,3,consensus,0,0.0000,False,"4 strategies, 0 accepted"
FOZc1,1680,3,ground_truth,0,0.0000,False,0 divider(s)
FOZc1,1680,3,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
FOZc1,1680,3,viterbi_hmm,2,1.0000,False,"within_pairs=2768, cross_pairs=382"
GO2r,1681,18,bigram_transition,2,1.0000,False,"threshold=0.012821, p25"
GO2r,1681,18,boundary_entropy,14,1.0000,False,"threshold=1.0000, median=1.0000"
GO2r,1681,18,consensus,1,0.7500,False,"4 strategies, 1 accepted"
GO2r,1681,18,ground_truth,0,0.0000,False,0 divider(s)
GO2r,1681,18,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
GO2r,1681,18,viterbi_hmm,11,1.0000,False,"within_pairs=2768, cross_pairs=382"
GO2v,1682,13,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
GO2v,1682,13,boundary_entropy,8,1.0000,False,"threshold=1.0000, median=1.0000"
GO2v,1682,13,consensus,0,0.0000,False,"4 strategies, 0 accepted"
GO2v,1682,13,ground_truth,0,0.0000,False,0 divider(s)
GO2v,1682,13,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
GO2v,1682,13,viterbi_hmm,3,1.0000,False,"within_pairs=2768, cross_pairs=382"
GOWc1a,1683,6,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
GOWc1a,1683,6,boundary_entropy,5,1.0000,False,"threshold=1.0000, median=1.0000"
GOWc1a,1683,6,consensus,0,0.0000,False,"4 strategies, 0 accepted"
GOWc1a,1683,6,ground_truth,0,0.0000,False,0 divider(s)
GOWc1a,1683,6,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
GOWc1a,1683,6,viterbi_hmm,3,1.0000,False,"within_pairs=2768, cross_pairs=382"
GOWc1b,1684,2,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
GOWc1b,1684,2,boundary_entropy,0,1.0000,False,"threshold=1.0000, median=1.0000"
GOWc1b,1684,2,consensus,0,0.0000,False,"4 strategies, 0 accepted"
GOWc1b,1684,2,ground_truth,0,0.0000,False,0 divider(s)
GOWc1b,1684,2,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
GOWc1b,1684,2,viterbi_hmm,1,1.0000,False,"within_pairs=2768, cross_pairs=382"
GOWc3,1685,4,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
GOWc3,1685,4,boundary_entropy,0,1.0000,False,"threshold=1.0000, median=1.0000"
GOWc3,1685,4,consensus,0,0.0000,False,"4 strategies, 0 accepted"
GOWc3,1685,4,ground_truth,0,0.0000,False,0 divider(s)
GOWc3,1685,4,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
GOWc3,1685,4,viterbi_hmm,3,1.0000,False,"within_pairs=2768, cross_pairs=382"
HSZg1,1686,2,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HSZg1,1686,2,boundary_entropy,1,1.0000,False,"threshold=1.0000, median=1.0000"
HSZg1,1686,2,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HSZg1,1686,2,ground_truth,0,0.0000,False,0 divider(s)
HSZg1,1686,2,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HSZg1,1686,2,viterbi_hmm,0,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT1,1,29,bigram_transition,1,1.0000,True,"threshold=0.012821, p25"
HT1,1,29,boundary_entropy,7,1.0000,True,"threshold=1.0000, median=1.0000"
HT1,1,29,consensus,1,1.0000,True,"4 strategies, 1 accepted"
HT1,1,29,ground_truth,1,1.0000,True,1 divider(s)
HT1,1,29,positional_profile,1,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT1,1,29,viterbi_hmm,1,1.0000,True,"within_pairs=2768, cross_pairs=382"
HT100,128,40,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT100,128,40,boundary_entropy,7,1.0000,False,"threshold=1.0000, median=1.0000"
HT100,128,40,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT100,128,40,ground_truth,0,0.0000,False,0 divider(s)
HT100,128,40,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT100,128,40,viterbi_hmm,30,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT101,129,41,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT101,129,41,boundary_entropy,9,1.0000,False,"threshold=1.0000, median=1.0000"
HT101,129,41,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT101,129,41,ground_truth,0,0.0000,False,0 divider(s)
HT101,129,41,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT101,129,41,viterbi_hmm,20,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT102,130,35,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT102,130,35,boundary_entropy,13,1.0000,False,"threshold=1.0000, median=1.0000"
HT102,130,35,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT102,130,35,ground_truth,0,0.0000,False,0 divider(s)
HT102,130,35,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT102,130,35,viterbi_hmm,9,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT103,131,30,bigram_transition,1,1.0000,True,"threshold=0.012821, p25"
HT103,131,30,boundary_entropy,14,1.0000,True,"threshold=1.0000, median=1.0000"
HT103,131,30,consensus,1,1.0000,True,"4 strategies, 1 accepted"
HT103,131,30,ground_truth,1,1.0000,True,1 divider(s)
HT103,131,30,positional_profile,1,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT103,131,30,viterbi_hmm,3,1.0000,True,"within_pairs=2768, cross_pairs=382"
HT104,132,28,bigram_transition,2,1.0000,True,"threshold=0.012821, p25"
HT104,132,28,boundary_entropy,13,1.0000,True,"threshold=1.0000, median=1.0000"
HT104,132,28,consensus,2,1.0000,True,"4 strategies, 2 accepted"
HT104,132,28,ground_truth,2,1.0000,True,2 divider(s)
HT104,132,28,positional_profile,2,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT104,132,28,viterbi_hmm,2,1.0000,True,"within_pairs=2768, cross_pairs=382"
HT105,133,16,bigram_transition,1,1.0000,True,"threshold=0.012821, p25"
HT105,133,16,boundary_entropy,4,1.0000,True,"threshold=1.0000, median=1.0000"
HT105,133,16,consensus,1,1.0000,True,"4 strategies, 1 accepted"
HT105,133,16,ground_truth,1,1.0000,True,1 divider(s)
HT105,133,16,positional_profile,1,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT105,133,16,viterbi_hmm,4,1.0000,True,"within_pairs=2768, cross_pairs=382"
HT106,134,22,bigram_transition,1,1.0000,True,"threshold=0.012821, p25"
HT106,134,22,boundary_entropy,11,1.0000,True,"threshold=1.0000, median=1.0000"
HT106,134,22,consensus,1,1.0000,True,"4 strategies, 1 accepted"
HT106,134,22,ground_truth,1,1.0000,True,1 divider(s)
HT106,134,22,positional_profile,1,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT106,134,22,viterbi_hmm,2,1.0000,True,"within_pairs=2768, cross_pairs=382"
HT107,135,10,bigram_transition,2,1.0000,False,"threshold=0.012821, p25"
HT107,135,10,boundary_entropy,3,1.0000,False,"threshold=1.0000, median=1.0000"
HT107,135,10,consensus,1,0.7500,False,"4 strategies, 1 accepted"
HT107,135,10,ground_truth,0,0.0000,False,0 divider(s)
HT107,135,10,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT107,135,10,viterbi_hmm,6,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT108,136,26,bigram_transition,2,1.0000,True,"threshold=0.012821, p25"
HT108,136,26,boundary_entropy,14,1.0000,True,"threshold=1.0000, median=1.0000"
HT108,136,26,consensus,1,1.0000,True,"4 strategies, 1 accepted"
HT108,136,26,ground_truth,1,1.0000,True,1 divider(s)
HT108,136,26,positional_profile,1,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT108,136,26,viterbi_hmm,1,1.0000,True,"within_pairs=2768, cross_pairs=382"
HT109,137,20,bigram_transition,2,1.0000,False,"threshold=0.012821, p25"
HT109,137,20,boundary_entropy,8,1.0000,False,"threshold=1.0000, median=1.0000"
HT109,137,20,consensus,1,0.7500,False,"4 strategies, 1 accepted"
HT109,137,20,ground_truth,0,0.0000,False,0 divider(s)
HT109,137,20,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
