gorila_id,inscription_id,num_signs,num_words,segmented_text,ground_truth_boundaries,predicted_boundaries,confidence
HTWa1771,971,1,1,𐙕,[],[],0.0000
HTWa1772,972,1,1,𐙕,[],[],0.0000
HTWa1773,973,1,1,𐙕,[],[],0.0000
HTWa1774,974,1,1,𐙕,[],[],0.0000
HTWa1775,975,1,1,𐙕,[],[],0.0000
HTWa1776,976,1,1,𐙕,[],[],0.0000
HTWa1777,977,1,1,𐙕,[],[],0.0000
HTWa1778,978,1,1,𐙕,[],[],0.0000
HTWa1779,979,1,1,𐙕,[],[],0.0000
HTWa1780,980,1,1,𐙕,[],[],0.0000
HTWa1781,981,1,1,𐙕,[],[],0.0000
HTWa1782,982,1,1,𐙕,[],[],0.0000
HTWa1783,983,1,1,𐙕,[],[],0.0000
HTWa1784,984,1,1,𐙕,[],[],0.0000
HTWa1785,985,1,1,𐙕,[],[],0.0000
HTWa1786,986,1,1,𐙕,[],[],0.0000
HTWa1787,987,1,1,𐙕,[],[],0.0000
HTWa1788,988,1,1,𐙕,[],[],0.0000
HTWa1789,989,1,1,𐙕,[],[],0.0000
HTWa1790,990,1,1,𐙕,[],[],0.0000
HTWa1791,991,1,1,𐙕,[],[],0.0000
HTWa1792,992,1,1,𐙕,[],[],0.0000
HTWa1793,993,1,1,𐙕,[],[],0.0000
HTWa1794,994,1,1,𐙕,[],[],0.0000
HTWa1795,995,1,1,𐙕,[],[],0.0000
HTWa1796,996,1,1,𐙕,[],[],0.0000
HTWa1797,997,1,1,𐙕,[],[],0.0000
HTWa1798,998,1,1,𐙕,[],[],0.0000
HTWa1799,999,1,1,𐙕,[],[],0.0000
HTWa1800,1000,1,1,𐙕,[],[],0.0000
HTWa1801,1001,1,1,𐙕,[],[],0.0000
HTWa1802,1002,1,1,𐙕,[],[],0.0000
HTWa1803,1003,1,1,𐙕,[],[],0.0000
HTWa1804,1004,1,1,𐙕,[],[],0.0000
HTWa1805,1005,1,1,𐙕,[],[],0.0000
HTWa1806,1006,1,1,𐙕,[],[],0.0000
HTWa1807,1007,1,1,𐙕,[],[],0.0000
HTWa1808,1008,1,1,𐙕,[],[],0.0000
HTWa1809,1009,1,1,𐙕,[],[],0.0000
HTWa1810,1010,1,1,𐙕,[],[],0.0000
HTWa1811,1011,1,1,𐙕,[],[],0.0000
HTWa1812,1012,1,1,𐙕,[],[],0.0000
HTWa1813,1013,1,1,𐙕,[],[],0.0000
HTWa1814,1014,1,1,𐙕,[],[],0.0000
HTWa1815,1015,1,1,𐙕,[],[],0.0000
HTWa1816,1016,1,1,𐙕,[],[],0.0000
HTWa1817,1017,1,1,𐙕,[],[],0.0000
HTWa1818,1018,1,1,𐙕,[],[],0.0000
HTWa1819,1019,1,1,𐙕,[],[],0.0000
HTWa1820,1020,1,1,𐙕,[],[],0.0000
HTWa1821,1021,1,1,𐙕,[],[],0.0000
HTWa1822,1022,1,1,𐙕,[],[],0.0000
HTWa1823,1023,1,1,𐙕,[],[],0.0000
HTWa1824,1024,1,1,𐙕,[],[],0.0000
HTWa1825,1025,1,1,𐙕,[],[],0.0000
HTWa1826,1026,1,1,𐙕,[],[],0.0000
HTWa1827,1027,1,1,𐙕,[],[],0.0000
HTWa1828,1028,1,1,𐙕,[],[],0.0000
HTWa1829,1029,1,1,𐙕,[],[],0.0000
HTWa1830,1030,1,1,𐙕,[],[],0.0000
HTWa1831,1031,1,1,𐙕,[],[],0.0000
HTWa1832,1032,1,1,𐙕,[],[],0.0000
HTWa1833,1033,1,1,𐙕,[],[],0.0000
HTWa1834,1034,1,1,𐙕,[],[],0.0000
HTWa1835,1035,1,1,𐙕,[],[],0.0000
HTWa1836,1036,1,1,𐙕,[],[],0.0000
HTWa1837,1037,1,1,𐙕,[],[],0.0000
HTWa1838,1038,1,1,𐙕,[],[],0.0000
HTWa1839,1039,1,1,𐙕,[],[],0.0000
HTWa1840,1040,1,1,𐙕,[],[],0.0000
HTWa1841,1041,1,1,𐙕,[],[],0.0000
HTWa1842,1042,1,1,𐙕,[],[],0.0000
HTWa1843,1043,1,1,𐙕,[],[],0.0000
