SECTION,CV_TYPE_FREQUENCIES
cv_type,count,fraction
?,1,0.000174
AB 35,CV
AB 36,CV
AB 37,CV
AB 38,V
AB 39,other:CCCVC
AB 40,CV
AB 41,CVC
AB 42,CVC
AB 43,other:VVC
AB 44,other:C
AB 45,other:CCCVC
AB 46,other:CCCVC
AB 47,V
AB 48,complex
AB 49,CV
AB 50,CVC
AB 51,CVC
AB 52,CV
AB 53,CV
AB 54,CV
AB 55,CV
AB 56,CV
AB 57,CV
AB 58,other:C
AB 59,CV
AB 60,CV
AB 61,CVC
AB 62,complex
AB 63,CV
AB 64,complex
AB 65,CVC
AB 66,CVC
AB 67,CV
AB 68,CVCC
AB 69,CV
AB 70,other:CCCVC
AB 71,complex
AB 72,other:CCCC
AB 73,CCV
AB 75,other:VCVC
AB 76,CVCC
AB 77,CV
AB 78,CV
AB 79,CVC
AB 80,CV
AB 81,CV
AB 82,other:CCC
AB 83,other:CCCC
AB 84,CVC
AB 85,other:CCCC
AB 86,other:VCV
AB 87,other:CCC
AB 88,other:CCCC
AB 89,other:C
AB 90,CV
AB 91,other:CCCC
AB 92,other:CCCC
AB 93,other:CCC
AB 94,other:CCCCC
AB 95,other:CC
AB 96,other:CCCC
AB 98,CV
