la_bennett_id,inscription_id,gorila_id,sequence,character,findspot,period,object_type,syllabograms_before,syllabograms_after,chars_before,chars_after,nearby_numbers,nearby_fractions,all_inscription_logograms,pattern_frequency,morphology_cross_reference
VASE 4,1148,KH14,20,𐝃,Khania,LM IB,tablet (page-shaped),"
 2 
",,𐝫 𐝫 𐘝,,0.25; 2; 2,,A 395; VASE 4; VASE 8,,
A 395,1148,KH14,21,𐛨,Khania,LM IB,tablet (page-shaped),,𐄈 𐝫 ? 𐝫 𐝫,,𐄈 𐝫 𐙗 𐝫 𐝫,0.25; 2; 2,,A 395; VASE 4; VASE 8,,
VASE 7,1149,KH15,3,𐝆,Khania,LM IB,tablet (page-shaped),"CYP ¹⁄₂ 
","
",𐝫 𐙗 𐝫,𐘝,0.5,,VASE 4; VASE 7,,
VASE 7,1149,KH15,5,𐝆,Khania,LM IB,tablet (page-shaped),"
",𐝫 pu,𐘝,𐝫 𐘝,0.5,,VASE 4; VASE 7,,
VASE 4,1149,KH15,8,𐝃,Khania,LM IB,tablet (page-shaped),𐝫 pu,,𐝫 𐘝,,,,VASE 4; VASE 7,,
VASE 8,1150,KH16,4,𐝇,Khania,LM IB,tablet (page-shaped),"22 
 CYP 
",,𐝫 𐄑 𐄈 𐙗,,22; 20; 2; 0.5,,VASE 10; VASE 7; VASE 8,,
VASE 10,1150,KH16,5,𐝉,Khania,LM IB,tablet (page-shaped),,"I CYP+D 
 ¹⁄₂ 
",,𐝫 𐝫 𐘉 𐘳 𐘚,22; 20; 2; 0.5,,VASE 10; VASE 7; VASE 8,,
VASE 7,1150,KH16,15,𐝆,Khania,LM IB,tablet (page-shaped),"
 TA 𐝫 𐝫",du? 𐝫 𐝫,𐘚 𐘤 𐝫 𐝫,𐘳 𐝫 𐝫,,,VASE 10; VASE 7; VASE 8,,
VASE 7,1151,KH17,4,𐝆,Khania,LM IB,tablet (page-shaped),𐝫 𐝫 4 𐝆𐝁,,𐝫 𐝫 𐝫 𐄊,,4; 4; 1,,VASE 2; VASE 7,,
VASE 2,1151,KH17,5,𐝁,Khania,LM IB,tablet (page-shaped),,"NI 1 A 
 𐝫",,𐘝 𐝫 𐝫 𐘝 𐄇,4; 4; 1; 1,,VASE 2; VASE 7,,
A 344,1152,KH18,18,𐚵,Khania,LM IB,tablet (page-shaped),"
 DA+*301 1 
 𐝫",zo? 𐄇,𐄑 𐄈 𐘤 𐝫 𐝫,𐙏 𐄇,20; 2; 1; 1,,A 344; A 345,,
A 345,1152,KH18,21,𐚶,Khania,LM IB,tablet (page-shaped),zo? 𐄇,𐝫,𐙏 𐄇,𐝫,1,,A 344; A 345,,
A 395,1153,KH19,2,𐛨,Khania,LM IB,tablet (page-shaped),*306 VIR+*307,"
 2 
 ¹⁄₃ 𐄈",𐝫 𐙚,𐄐 𐄉 𐝫 𐝫 𐄈,10; 3; 0.3333; 2,,A 395; VASE 2,,
VASE 2,1153,KH19,9,𐝁,Khania,LM IB,tablet (page-shaped),,𐝫,,𐝫,3; 0.3333; 2; 100,,A 395; VASE 2,,
VASE 2,1154,KH20,10,𐝁,Khania,LM IB,tablet (page-shaped),"RA 𐄁 
 
","ZA 𐄁 CYP+E ¹⁄₂ 
",𐘴 𐄁 𐝫 𐝫,𐝫 𐘬 𐘙 𐘍 𐄁,0.5,,VASE 2; VASE 4; VASE 7,,
VASE 7,1154,KH20,17,𐝆,Khania,LM IB,tablet (page-shaped),"𐄁 CYP+E ¹⁄₂ 
",pu,𐘬 𐘙 𐘍 𐄁,𐘝,0.5,,VASE 2; VASE 4; VASE 7,,
VASE 4,1154,KH20,19,𐝃,Khania,LM IB,tablet (page-shaped),pu,,𐘝,,0.5; 0.25,,VASE 2; VASE 4; VASE 7,,
A 560,1155,KH21,3,𐝍,Khania,LM IB,tablet (page-shaped),𐝫 CYP 𐝍,"
",𐝫 𐝫 𐙗,𐝫,2,,A 560; VASE 3,,
VASE 3,1155,KH21,5,𐝂,Khania,LM IB,tablet (page-shaped),"
","
 *306 QE ? ?",𐝫,𐘝 𐄈 𐝫 𐙚 𐘿,2,,A 560; VASE 3,,
VASE 10,1158,KH24,6,𐝉,Khania,LM IB,tablet (page-shaped),"12 
 𐝫𐝉 
 𐝫",𐝫,𐘲 𐄐 𐄈 𐝫 𐝫,𐝫,12; 10; 2,,VASE 10,,
VASE 4,1160,KH26,8,𐝃,Khania,LM IB,tablet (page-shaped),"
 NI 𐝃𐝋 
 𐝫",,𐄕 𐝫 𐝫 𐘝 𐄈,,60; 2,,VASE 12; VASE 4,,
VASE 12,1160,KH26,9,𐝋,Khania,LM IB,tablet (page-shaped),,𐝫 𐝫 𐝫,,𐝫 𐝫 𐝫,2,,VASE 12; VASE 4,,
A 400,1161,KH27,5,𐛭,Khania,LM IB,tablet (page-shaped),"𐝫 NI 
 GRA+PA 𐝫",𐄊 𐝫,𐝫 𐝫 𐘝 𐝫 𐝫,𐄊 𐝫,4,,A 400,,
VASE 7,1163,KH29,13,𐝆,Khania,LM IB,tablet (page-shaped),"
 CYP 
 𐝫 𐝫",𐝫 𐝫 𐝫,𐘂 𐝫 𐝫 𐄈 𐙗,𐝫 𐝫 𐝫,2,,VASE 7,,
VASE 10,1164,KH30,2,𐝉,Khania,LM IB,tablet (page-shaped),𐝫 𐝫𐝉𐝫,NI 𐝫 pu 𐄏,𐝫 𐝫,𐝫 𐝫 𐘝 𐄏,9,,VASE 10,,
VASE 7,1165,KH31,5,𐝆,Khania,LM IB,tablet (page-shaped),𐝫 *401+[ — ¹⁄₂,1 𐝫 𐄇 𐝫,𐝫 𐝫 — 𐝫,𐝫 𐝫 𐄇 𐝫,0.5; 1; 1,,VASE 7,,
A 381,1170,KH36,3,𐛚,Khania,LM IB,tablet (page-shaped),KA 𐄁 MI+JA+RU,"
 NA 𐝫 na 𐝫",𐝫 𐘾 𐄁,𐄊 𐝫 𐝫 𐘅 𐝫,4,,A 381,,
VASE 7,1172,KH38,3,𐝆,Khania,LM IB,tablet (page-shaped),𐝫 𐝫,"
 
 𐝫",𐝫 𐝫,𐝫 𐝫 𐝫,,,VASE 7,,
A 502,1176,KH42,2,𐜟,Khania,LM IB,tablet (page-shaped),𐝫 *307+*301[,𐝫 𐝫,𐝫 𐝫,𐝫 𐝫,,,A 502,,
A 389,1177,KH43,1,𐛢,Khania,LM IB,tablet (page-shaped),*560,"2 
",𐝫,𐘙 𐄈,2; 2,,A 362; A 389,,
A 362,1177,KH43,4,𐛇,Khania,LM IB,tablet (page-shaped),"2 
",𐝫 𐝫,𐘙 𐄈,𐝫 𐝫,2; 2,,A 362; A 389,,
VASE 12,1180,KH46,3,𐝋,Khania,LM IB,tablet (page-shaped),𐝫 𐝫 𐝫𐝋,"
 𐝫 𐝫",𐝫 𐝫 𐝫,𐙍 𐝫 𐝫,,,VASE 12,,
VASE 2,1188,KH55,3,𐝁,Khania,LM IB,tablet (page-shaped),,"
 
 NI 𐝫 𐝫",,𐝫 𐄉 𐝫 𐘝 𐝫,3,,VASE 2,,
A 568,1189,KH56,1,𐝕,Khania,LM IB,tablet (page-shaped),𐝫𐝕𐝉𐝫,,𐝫,,,,A 568; VASE 10,,
VASE 10,1189,KH56,2,𐝉,Khania,LM IB,tablet (page-shaped),,"
 𐝫 𐝫",,𐝫 𐝫 𐝫,,,A 568; VASE 10,,
VASE 4,1190,KH57,11,𐝃,Khania,LM IB,tablet (page-shaped),"¹⁄₄ 
 𐝫 ? 𐝫",𐝫 𐝫,𐄇 𐝫 𐝫 𐙗 𐝫,𐝫 𐝫,1,,VASE 4,,
VASE 4,1191,KH58,11,𐝃,Khania,LM IB,tablet (page-shaped),"CYP+E 1 
 
","
 CYP 
 *301",𐘝 𐝫 𐝫 𐄇,𐘇 𐝫 𐝫 𐄊,1; 1; 4,,VASE 4; VASE 7,,
VASE 7,1191,KH58,21,𐝆,Khania,LM IB,tablet (page-shaped),*301 𐝫 𐝫 ? 𐝫,a ? 𐝫,𐄊 𐝫 𐝫 𐙗 𐝫,𐘇 𐙕 𐝫,4,,VASE 4; VASE 7,,
A 560,1193,KH60,9,𐝍,Khania,LM IB,tablet (page-shaped),"SI 
 *131C 
 TA₂","¹⁄₅ 
 MI+JA+RU 
",𐘅 𐘤 𐝫 𐝫 𐙏,𐘷 𐙗 𐝫 𐝫,0.2,,A 381; A 560; VASE 3,,
VASE 3,1193,KH60,14,𐝂,Khania,LM IB,tablet (page-shaped),"¹⁄₅ 
 MI+JA+RU 
",,𐘷 𐙗 𐝫 𐝫,,0.2,,A 381; A 560; VASE 3,,
A 381,1193,KH60,15,𐛚,Khania,LM IB,tablet (page-shaped),,,,,0.2,,A 381; A 560; VASE 3,,
VASE 3,1193,KH60,16,𐝂,Khania,LM IB,tablet (page-shaped),,𐝫 𐝫 𐝫,,𐝫 𐝫 𐝫,,,A 381; A 560; VASE 3,,
VASE 2,1194,KH61,9,𐝁,Khania,LM IB,tablet (page-shaped),"MA 
 
 OLE+TA 
",,𐝫 𐄇 𐙁 𐝫 𐝫,,1; 1,,A 560; VASE 10; VASE 2,,
VASE 10,1194,KH61,11,𐝉,Khania,LM IB,tablet (page-shaped),,1 𐝫 ? 𐝫 𐄈,,𐝫 𐝫 𐙗 𐝫 𐄈,1; 2,,A 560; VASE 10; VASE 2,,
A 560,1194,KH61,19,𐝍,Khania,LM IB,tablet (page-shaped),? 𐝫 𐄈 ? 𐄇,,𐙗 𐝫 𐄈 𐙉 𐄇,,2; 1,,A 560; VASE 10; VASE 2,,
VASE 10,1196,KH63,7,𐝉,Khania,LM IB,tablet (page-shaped),"10 
 *401+RU 
",𐝫 𐝫,𐘲 𐄐 𐝫 𐝫,𐝫 𐝫,10; 10,,VASE 10,,
VASE 10,1201,KH68+71,3,𐝉,Khania,LM IB,tablet (page-shaped),𐝫 *401+[,"
 
 𐝫",𐝫 𐝫,𐝫 𐝫 𐝫,,,VASE 10,,
VASE 10,1205,KH73,2,𐝉,Khania,LM IB,tablet (page-shaped),𐝫 𐝫𐝉,"
 1 NI 1 *304+PA",𐝫 𐝫,𐘇 𐝫 𐝫 𐄇 𐘝,1; 1,,A 500; VASE 10; VASE 8,,
A 500,1205,KH73,9,𐜝,Khania,LM IB,tablet (page-shaped),1 NI 1 *304+PA 1,"
 A 𐝫",𐝫 𐝫 𐄇 𐘝 𐄇,𐄇 𐝫 𐝫,1; 1; 1; 1,,A 500; VASE 10; VASE 8,,
VASE 8,1205,KH73,13,𐝇,Khania,LM IB,tablet (page-shaped),"
 A 𐝫",a 𐝫 𐝫,𐄇 𐝫 𐝫,𐘇 𐝫 𐝫,1; 0.0625; 1,,A 500; VASE 10; VASE 8,,
VASE 7,1207,KH75,2,𐝆,Khania,LM IB,tablet (page-shaped),𐝫 ¹⁄₂,"CYP 
 NI ¹⁄₃",𐝫 𐝫,𐝫 𐝫 𐙗 𐝫,0.5; 0.3333,,VASE 10; VASE 2; VASE 7; VASE 8,,
VASE 8,1207,KH75,7,𐝇,Khania,LM IB,tablet (page-shaped),"CYP 
 NI ¹⁄₃",,𐝫 𐝫 𐙗 𐝫,,0.3333,,VASE 10; VASE 2; VASE 7; VASE 8,,
VASE 10,1207,KH75,8,𐝉,Khania,LM IB,tablet (page-shaped),,pu,,𐘝,0.3333,,VASE 10; VASE 2; VASE 7; VASE 8,,
VASE 2,1207,KH75,10,𐝁,Khania,LM IB,tablet (page-shaped),pu,𐝫,𐘝,𐝫,0.3333,,VASE 10; VASE 2; VASE 7; VASE 8,,
VASE 4,1208,KH76,8,𐝃,Khania,LM IB,tablet (page-shaped),"
 CYP 
 𐝫 𐝫",,𐄊 𐝫 𐝫 𐙗 𐝫,,4,,VASE 13; VASE 4,,
VASE 13,1208,KH76,9,𐝌,Khania,LM IB,tablet (page-shaped),,𐝫,,𐝫,,,VASE 13; VASE 4,,
A 560,1209,KH77,3,𐝍,Khania,LM IB,tablet (page-shaped),"CYP 𐝍 
",𐝫,𐝫 𐙗 𐝫,𐝫,,,A 560,,
VASE 3,1213,KH80,1,𐝂,Khania,LM IB,tablet (page-shaped),¹⁄₅,"
 𐝫 𐝫",𐝫,𐙖 𐝫 𐝫,0.2,,VASE 3,,
A 382,1214,KH81,4,𐛛,Khania,LM IB,tablet (page-shaped),"𐝫 𐝫 5 
","
 3 𐝫 𐄉 𐝫",𐝫 𐝫 𐄋 𐝫,𐄢 𐝫 𐝫 𐄉 𐝫,5; 1000; 3; 3,,A 382,,
VASE 10,1215,KH82,4,𐝉,Khania,LM IB,tablet (page-shaped),,"*315 
 *336 
 𐝫",,𐝫 𐝫 𐙧 𐄇 𐝫,1,,VASE 10,,
VASE 7,1217,KH84,3,𐝆,Khania,LM IB,tablet (page-shaped),𐝫 CYP ¹⁄₂,"*301 
 *306 
 
",𐝫 𐝫 𐙗,𐝫 𐝫 𐙕 𐄇 𐙚,0.5; 1,,VASE 7,,
VASE 7,1218,KH85,3,𐝆,Khania,LM IB,tablet (page-shaped),,"
 *401+RU 
",,𐙜 𐝫 𐝫,0.5,,VASE 3; VASE 7; VASE 8,,
VASE 8,1218,KH85,8,𐝇,Khania,LM IB,tablet (page-shaped),"
 *401+RU 
","
 CYP 
 𐝫 𐝫",𐙜 𐝫 𐝫,𐙏 𐝫 𐝫 𐙘 𐝫,,,VASE 3; VASE 7; VASE 8,,
VASE 3,1218,KH85,17,𐝂,Khania,LM IB,tablet (page-shaped),𐝫 𐝫 𐝫 ? 𐝫,𐝫 𐝫,𐙘 𐝫 𐝫 𐙗 𐝫,𐝫 𐝫,,,VASE 3; VASE 7; VASE 8,,
VASE 1,1219,KH86,8,𐝀,Khania,LM IB,tablet (page-shaped),"
 CYP 
 PI NU",,𐙗 𐝫 𐝫 𐙗 𐝫,,3; 0.75,,A 568; VASE 1; VASE 2,,
VASE 2,1219,KH86,9,𐝁,Khania,LM IB,tablet (page-shaped),,,,,0.75,,A 568; VASE 1; VASE 2,,
VASE 2,1219,KH86,10,𐝁,Khania,LM IB,tablet (page-shaped),,"³⁄₄ 
 𐝫 𐝫 𐄉",,𐘢 𐘯 𐝫 𐝫 𐄉,3; 0.75; 3,,A 568; VASE 1; VASE 2,,
A 568,1219,KH86,20,𐝕,Khania,LM IB,tablet (page-shaped),𐄉 𐝫 𐝫 ? 𐝫,𐝫 𐝫,𐄉 𐝫 𐝫 𐙗 𐝫,𐝫 𐝫,3,,A 568; VASE 1; VASE 2,,
VASE 10,1220,KH87,3,𐝉,Khania,LM IB,tablet (page-shaped),𐝫 𐝫 𐝫𐝉,"
 ¹⁄₂ *23M",𐝫 𐝫 𐝫,𐙚 𐝫 𐝫,0.5; 1,,VASE 10; VASE 7,,
VASE 7,1220,KH87,7,𐝆,Khania,LM IB,tablet (page-shaped),"
 ¹⁄₂ *23M",pi 𐄇,𐙚 𐝫 𐝫,𐘖 𐄇,0.5; 1,,VASE 10; VASE 7,,
VASE 7,1223,KH91,11,𐝆,Khania,LM IB,tablet (page-shaped),"VIN 
 1 13/20 
",,𐙍 𐝫 𐝫 𐙨 𐄇,,1; 1; 0.1667; 0.0625,,VASE 1; VASE 10; VASE 7; VASE 8,,
VASE 10,1223,KH91,12,𐝉,Khania,LM IB,tablet (page-shaped),,"¹⁄₆ 
 ¹⁄₁₆",,𐙀 𐝫 𐝫,1; 1; 0.1667; 0.0625,,VASE 1; VASE 10; VASE 7; VASE 8,,
VASE 1,1223,KH91,16,𐝀,Khania,LM IB,tablet (page-shaped),"¹⁄₆ 
 ¹⁄₁₆","
",𐙀 𐝫 𐝫,𐘹,0.1667; 0.0625,,VASE 1; VASE 10; VASE 7; VASE 8,,
VASE 8,1223,KH91,18,𐝇,Khania,LM IB,tablet (page-shaped),"
","
 *401+RO 𐝫",𐘹,𐘝 𐝫 𐝫,0.1667; 0.0625,,VASE 1; VASE 10; VASE 7; VASE 8,,
VASE 8,1223,KH91,23,𐝇,Khania,LM IB,tablet (page-shaped),"
 *401+RO 𐝫",𐝫 𐝫,𐘝 𐝫 𐝫,𐝫 𐝫,,,VASE 1; VASE 10; VASE 7; VASE 8,,
VASE 9,1228,KH96,3,𐝈,Khania,Uncertain,tablet (page-shaped),𐝫 𐝫 𐝫𐝈𐝀𐝀,,𐝫 𐝫 𐝫,,,,VASE 1; VASE 9,,
VASE 1,1228,KH96,4,𐝀,Khania,Uncertain,tablet (page-shaped),,,,,,,VASE 1; VASE 9,,
VASE 1,1228,KH96,5,𐝀,Khania,Uncertain,tablet (page-shaped),,,,,,,VASE 1; VASE 9,,
A 303,1232,KH100,0,𐚌,Khania,LMIIIA,tablet (page-shaped),,"*306 
 VIN 
 KE",,𐙚 𐝫 𐝫 𐘁 𐙍,,,A 303; VASE 4,,
VASE 4,1232,KH100,9,𐝃,Khania,LMIIIA,tablet (page-shaped),"
 KE ¹⁄₄ 𐝫 ?",𐝫 𐝫,𐘁 𐙍 𐝫 𐝫 𐘥,𐝫 𐝫,0.25,,A 303; VASE 4,,
A 504,1234,KHWa1001,0,𐜡,Khania,LM IB,Nodule,,,,,,,A 342; A 504,,
A 342,1234,KHWa1001,1,𐚳,Khania,LM IB,Nodule,,,,,,,A 342; A 504,,
A 504,1235,KHWa1002,0,𐜡,Khania,Uncertain,Nodule,,,,,,,A 342; A 504,,
A 342,1235,KHWa1002,1,𐚳,Khania,Uncertain,Nodule,,,,,,,A 342; A 504,,
A 322,1251,KHWa1018,0,𐚟,Khania,LM IB,Nodule,,,,,,,A 322,,
VASE 4,1252,KHWa1019,0,𐝃,Khania,LM IB,Nodule,,,,,,,VASE 4,,
A 340,1259,KHWc2006,0,𐚱,Khania,LM IB,roundel,,,,,,,A 340,,
A 340,1260,KHWc2007,0,𐚱,Khania,LM IB,roundel,,,,,,,A 340,,
A 334,1261,KHWc2008,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1262,KHWc2009,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 332,1263,KHWc2010,0,𐚩,Khania,LM IB,roundel,,,,,,,A 332,,
A 334,1264,KHWc2011,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1265,KHWc2012,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1266,KHWc2013,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1267,KHWc2014,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1268,KHWc2015,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1269,KHWc2016,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1270,KHWc2017,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1271,KHWc2018,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1272,KHWc2019,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 332,1273,KHWc2020,0,𐚩,Khania,LM IB,roundel,,,,,,,A 332,,
A 332,1274,KHWc2021,0,𐚩,Khania,LM IB,roundel,,,,,,,A 332,,
A 334,1275,KHWc2022,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1276,KHWc2023,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 334,1277,KHWc2024,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 332,1278,KHWc2025,0,𐚩,Khania,LM IB,roundel,,VS,,𐝫,,,A 332,,
A 394,1282,KHWc2029,0,𐛧,Khania,LM IB,roundel,,,,,,,A 394,,
A 394,1283,KHWc2030,0,𐛧,Khania,Uncertain,roundel,,,,,,,A 394,,
A 394,1284,KHWc2031,0,𐛧,Khania,LM IB,roundel,,,,,,,A 394,,
A 394,1285,KHWc2032,0,𐛧,Khania,LM IB,roundel,,,,,,,A 394,,
A 508,1309,KHWc2056,0,𐜥,Khania,LM IB,roundel,,,,,,,A 508,,
A 508,1310,KHWc2057,0,𐜥,Khania,LM IB,roundel,,,,,,,A 508,,
A 393,1311,KHWc2058,0,𐛦,Khania,LM IB,roundel,,,,,,,A 393,,
A 393,1312,KHWc2092,0,𐛦,Khania,Uncertain,roundel,,,,,,,A 393,,
A 393,1313,KHWc2091,0,𐛦,Khania,Uncertain,roundel,,,,,,,A 393,,
A 393,1314,KHWc2059,0,𐛦,Khania,Uncertain,roundel,,,,,,,A 393,,
A 393,1315,KHWc2060,0,𐛦,Khania,LM IB,roundel,,,,,,,A 393,,
A 393,1316,KHWc2061,0,𐛦,Khania,LM IB,roundel,,,,,,,A 393,,
A 393,1317,KHWc2062,0,𐛦,Khania,LM IB,roundel,,,,,,,A 393,,
A 384,1319,KHWc2064,0,𐛝,Khania,LM IB,roundel,,,,,,,A 384,,
A 302,1320,KHWc2065,1,𐚋,Khania,LM IB,roundel,*805,,𐝥,,,,A 302,,
A 355,1321,KHWc2066,0,𐛀,Khania,LM IB,roundel,,,,,,,A 355,,
A 355,1325,KHWc2070,0,𐛀,Khania,LM IB,roundel,,,,,,,A 355,,
A 334,1327,KHWc2079,0,𐚫,Khania,LM IB,roundel,,,,,,,A 334,,
A 331,1328,KHWc2084,0,𐚨,Khania,LM IB,roundel,,,,,,,A 331,,
A 392,1332,KHWc2097,0,𐛥,Khania,LM IB,roundel,,,,,,,A 392,,
A 384,1335,KHWc2099,0,𐛝,Khania,LM IB,roundel,,,,,,,A 384,,
A 303,1336,KHWc2100,1,𐚌,Khania,LM IB,roundel,VIR+[?],JA,𐙇,𐘱,,,A 303,,
A 331,1339,KHWc2103,0,𐚨,Khania,LM IB,roundel,,,,,,,A 331,,
A 394,1342,KHWc2106,0,𐛧,Khania,LM IB,roundel,,,,,,,A 394,,
A 393,1343,KHWc2109,0,𐛦,Khania,LM IB,roundel,,,,,,,A 393,,
A 331,1347,KHWc2114,0,𐚨,Khania,LM IB,roundel,,VS,,𐝫,,,A 331,,
A 392,1349,KHWc2117,2,𐛥,Khania,LMIIIA,roundel,"VIR+[?] 
",,𐙇 𐝫,,,,A 392,,
A 331,1352,KHWc2122,0,𐚨,Khania,LM IB,roundel,,,,,,,A 331,,
A 356,1358,KN2,6,𐛁,Knossos,Uncertain,tablet (page-shaped),"NA 2 
 3 
","
 𐝫 𐝫",𐘘 𐘅 𐄈 𐙈 𐄉,𐄋 𐝫 𐝫,2; 2; 3; 3; 5,,A 356,,
VASE 11,1363,KN28b,4,𐝊,Knossos,Uncertain,tablet (page-shaped),𐝫 𐝫 TE 𐝊𐝫,3 SU+MI 𐝊𐝫,𐝫 𐝫 𐝫 𐘃,𐝫 𐝫 𐄉,3; 3,,A 374; VASE 11,,
A 374,1363,KN28b,8,𐛓,Knossos,Uncertain,tablet (page-shaped),3 SU+MI 𐝊𐝫,,𐝫 𐝫 𐄉,,3; 3,,A 374; VASE 11,,
VASE 11,1363,KN28b,9,𐝊,Knossos,Uncertain,tablet (page-shaped),,𐝫 𐝫,,𐝫 𐝫,3; 3,,A 374; VASE 11,,
VASE 8,1366,KN54,7,𐝇,Knossos,Uncertain,tablet (page-shaped),"RA 
 *131C 
 𐝫",𐝫 𐝫,𐘫 𐘴 𐝫 𐝫 𐙏,𐝫 𐝫,,,VASE 8,,
VASE 9,1367,KN49,1,𐝈,Knossos,Uncertain,tablet (page-shaped),𐄁,𐝫,𐄁,𐝫,,,VASE 9,,
A 394,1396,KNZb56,1,𐛧,Knossos,Uncertain,Clay vessel,RO,,𐘁,,,,A 394,,
A 363,1408,KNZg<21>,0,𐛈,Knossos,LM IA,Stone object,,,,,,,A 363,,
A 359,1429,MA10b,14,𐛄,Malia,Uncertain,4-sided bar,"
 
 *402+A TI+*412VAS",𐄈,𐄉 𐝫 𐄊 𐄈,𐄈,3; 4; 2; 2,,A 359,,
A 327,1430,MA10c,5,𐚤,Malia,Uncertain,4-sided bar,"*412+E 
 
",𐝫,𐝫 𐄈 𐄉,𐝫,2; 2; 3; 3,,A 327,,
A 328,1434,MAZb15,0,𐚥,Malia,Uncertain,Clay vessel,,,,,,,A 328; VASE 8,,
VASE 8,1434,MAZb15,1,𐝇,Malia,Uncertain,Clay vessel,,,,,,,A 328; VASE 8,,
A 364,1445,MYZf1,0,𐛉,Mycenae,Uncertain,metal object,,,,,,,A 364,,
A 400,1450,PE1,13,𐛭,Petras,Uncertain,tablet (page-shaped),"PA RI VIR+[?] 50 
","¹⁄₂ 
",𐘂 𐘭 𐙇 𐄔 𐝫,𐄑 𐄌,50; 20; 6; 72,,A 400; VASE 7,,
VASE 7,1450,PE1,16,𐝆,Petras,Uncertain,tablet (page-shaped),"¹⁄₂ 
","VIR+[?] 72 
 GRA+PA 36",𐄑 𐄌,𐘡 𐘾 𐝫 𐙇 𐄖,50; 26; 20; 6; 72; 70,,A 400; VASE 7,,
A 400,1450,PE1,23,𐛭,Petras,Uncertain,tablet (page-shaped),"72 
 GRA+PA 36 𐄈",𐄒 𐄌,𐘾 𐝫 𐙇 𐄖 𐄈,𐄒 𐄌,72; 70; 2; 30; 6,,A 400; VASE 7,,
VASE 2,1451,PE2,2,𐝁,Petras,Uncertain,tablet (page-shaped),𐝫 3,RU PI *305 MI 1,𐝫 𐄉,𐘘 𐘢 𐝫 𐙙 𐘻,3; 1,,VASE 2; VASE 4; VASE 5; VASE 7,,
VASE 5,1451,PE2,9,𐝄,Petras,Uncertain,tablet (page-shaped),PI *305 MI 1 ¹⁄₈,*325 ZA ¹⁄₄,𐘢 𐝫 𐙙 𐘻 𐄇,𐘇 𐙱 𐘍,1; 1; 0.25,,VASE 2; VASE 4; VASE 5; VASE 7,,
VASE 4,1451,PE2,13,𐝃,Petras,Uncertain,tablet (page-shaped),*325 ZA ¹⁄₄,RI PA ¹⁄₄,𐘇 𐙱 𐘍,𐘇 𐘭 𐘂,1; 0.25; 0.25,,VASE 2; VASE 4; VASE 5; VASE 7,,
VASE 4,1451,PE2,17,𐝃,Petras,Uncertain,tablet (page-shaped),RI PA ¹⁄₄,QA DA ¹⁄₂,𐘇 𐘭 𐘂,𐘌 𐘌 𐘀,0.25; 0.25; 0.5,,VASE 2; VASE 4; VASE 5; VASE 7,,
VASE 7,1451,PE2,21,𐝆,Petras,Uncertain,tablet (page-shaped),QA DA ¹⁄₂,ME ¹⁄₃,𐘌 𐘌 𐘀,𐘄 𐘋,0.25; 0.5; 0.3333,,VASE 2; VASE 4; VASE 5; VASE 7,,
VASE 2,1451,PE2,24,𐝁,Petras,Uncertain,tablet (page-shaped),ME ¹⁄₃,"*49 RE 1 
 𐝫",𐘄 𐘋,𐘄 𐘪 𐘙 𐄇 𐝫,0.5; 0.3333; 1; 1,,VASE 2; VASE 4; VASE 5; VASE 7,,
VASE 7,1453,PEWy5,3,𐝆,Petras,Uncertain,tablet (page-shaped),OLE *307 1,,𐙖 𐙛 𐄇,,1,,VASE 7,,
VASE 7,1459,PEZg5,3,𐝆,Petras,LM IB,Stone object,OLE *307 1,,𐙖 𐙛 𐄇,,1,,VASE 7,,
VASE 10,1462,PH1a,7,𐝉,Phaistos,Uncertain,tablet (page-shaped),DI NA *316 𐄁 𐝉,"𐄁 *316 1 
 CYP",𐘴 𐘆 𐘅 𐙨 𐄁,𐝫 𐘱 𐄁 𐙨 𐄇,1; 1,,VASE 10; VASE 6,,
VASE 6,1462,PH1a,14,𐝅,Phaistos,Uncertain,tablet (page-shaped),"*316 1 
 CYP ¹⁄₆",𐝫,𐘱 𐄁 𐙨 𐄇 𐙗,𐝫,1; 1; 0.1667,,VASE 10; VASE 6,,
VASE 5,1463,PH1b,9,𐝄,Phaistos,Uncertain,tablet (page-shaped),"
 NI 𐝄𐝇 pu 𐄈",,𐘂 𐝫 𐝫 𐘝 𐄈,,2,,VASE 5; VASE 8,,
VASE 8,1463,PH1b,10,𐝇,Phaistos,Uncertain,tablet (page-shaped),,,,,2,,VASE 5; VASE 8,,
